2021-10-07 20:07:58 UTC Reorg to #13373825 0xe38e…9a58 (0x7087…c9e3 #13373823 0x0404…e3ed 0xc9c5…937a)
2021-10-07 20:10:44 UTC Syncing #13373833 0xcc6d…5514     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   34 Qed Ancient:#12872562 LI:#13373865   12/25 peers      4 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 20:10:49 UTC Syncing #13373833 0xcc6d…5514     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   34 Qed Ancient:#12872562 LI:#13373865   13/25 peers      4 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 20:10:54 UTC Syncing #13373833 0xcc6d…5514     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   35 Qed Ancient:#12872562 LI:#13373866   13/25 peers      4 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 20:11:00 UTC Syncing #13373834 0xa39f…b27e     0.20 blk/s   78.8 tx/s    6.0 Mgas/s      0+   36 Qed Ancient:#12872563 LI:#13373868   13/25 peers      4 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 20:11:08 UTC Syncing #13373835 0x10d6…3e71     0.20 blk/s   21.2 tx/s    1.3 Mgas/s      0+   36 Qed Ancient:#12872564 LI:#13373869   14/25 peers      4 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 20:11:09 UTC Syncing #13373835 0x10d6…3e71     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   36 Qed Ancient:#12872564 LI:#13373869   14/25 peers      4 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 20:11:14 UTC Syncing #13373835 0x10d6…3e71     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   37 Qed Ancient:#12872564 LI:#13373870   21/25 peers      4 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 20:11:31 UTC Syncing #13373835 0x10d6…3e71     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   37 Qed Ancient:#12872564 LI:#13373870   27/50 peers      7 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 20:11:31 UTC Syncing #13373835 0x10d6…3e71     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   37 Qed Ancient:#12872564 LI:#13373870   27/50 peers      6 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 20:11:31 UTC Syncing #13373835 0x10d6…3e71     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   37 Qed Ancient:#12872564 LI:#13373870   27/50 peers      6 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 20:12:08 UTC Syncing #13373836 0x4f9e…1cab     0.03 blk/s   17.2 tx/s    0.9 Mgas/s      0+   39 Qed Ancient:#12873005 LI:#13373872   24/25 peers     17 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 20:12:38 UTC Syncing #13373837 0xe7c3…a68f     0.04 blk/s   11.9 tx/s    1.0 Mgas/s      0+   41 Qed Ancient:#12873328 LI:#13373875   22/25 peers    142 KiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 20:12:38 UTC Syncing #13373837 0xe7c3…a68f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   41 Qed Ancient:#12873451 LI:#13373875   22/25 peers      2 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 20:12:38 UTC Syncing #13373837 0xe7c3…a68f     0.03 blk/s    8.9 tx/s    0.7 Mgas/s      0+   41 Qed Ancient:#12873451 LI:#13373875   22/25 peers      2 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 20:12:38 UTC Syncing #13373836 0x4f9e…1cab     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   41 Qed Ancient:#12873324 LI:#13373875   22/25 peers    0 bytes chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 20:12:39 UTC Syncing #13373837 0xe7c3…a68f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   42 Qed Ancient:#12873451 LI:#13373877   18/25 peers      2 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 20:12:44 UTC Syncing #13373837 0xe7c3…a68f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   42 Qed Ancient:#12873451 LI:#13373877   18/25 peers      2 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 20:12:49 UTC Syncing #13373837 0xe7c3…a68f     0.20 blk/s   46.4 tx/s    4.1 Mgas/s      0+   41 Qed Ancient:#12873452 LI:#13373877   16/25 peers      3 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 20:12:52 UTC Reorg to #13373838 0xef3c…88b1 (0xe7c3…a68f #13373836 0x4f9e…1cab 0x2466…1f9f)
2021-10-07 20:12:58 UTC Syncing #13373838 0xef3c…88b1     0.20 blk/s   44.4 tx/s    2.5 Mgas/s      0+   40 Qed Ancient:#12873453 LI:#13373877   15/25 peers      3 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 20:13:04 UTC Syncing #13373839 0xad16…7952     0.20 blk/s    8.0 tx/s    0.5 Mgas/s      0+   40 Qed Ancient:#12873454 LI:#13373878   15/25 peers      3 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 20:13:04 UTC Syncing #13373839 0xad16…7952     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   40 Qed Ancient:#12873454 LI:#13373878   15/25 peers      3 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 20:13:10 UTC Syncing #13373839 0xad16…7952     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   40 Qed Ancient:#12873454 LI:#13373878   15/25 peers      3 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 20:13:16 UTC Syncing #13373840 0x9a16…9f35     0.20 blk/s   58.6 tx/s    4.0 Mgas/s      0+   40 Qed Ancient:#12873455 LI:#13373879   15/25 peers      3 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 20:13:20 UTC Syncing #13373840 0x9a16…9f35     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   40 Qed Ancient:#12873455 LI:#13373879   15/25 peers      3 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 20:13:24 UTC Syncing #13373840 0x9a16…9f35     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   41 Qed Ancient:#12873455 LI:#13373880   13/25 peers      3 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 20:13:31 UTC Syncing #13373841 0x849f…3331     0.20 blk/s   79.2 tx/s    3.9 Mgas/s      0+   40 Qed Ancient:#12873456 LI:#13373880   16/25 peers      3 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 20:13:36 UTC Syncing #13373842 0x4de1…a2f6     0.20 blk/s   15.0 tx/s    0.8 Mgas/s      0+   39 Qed Ancient:#12873457 LI:#13373880   16/25 peers      3 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 20:13:41 UTC Syncing #13373843 0x2f94…408b     0.20 blk/s   28.0 tx/s    1.6 Mgas/s      0+   38 Qed Ancient:#12873458 LI:#13373880   16/25 peers      3 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
