2021-10-07 20:16:19 UTC Syncing #13373852 0x2696…d1fe     0.20 blk/s  102.2 tx/s    5.5 Mgas/s      0+   44 Qed Ancient:#12873469 LI:#13373896   14/25 peers      3 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 20:16:24 UTC Syncing #13373852 0x2696…d1fe     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   44 Qed Ancient:#12873469 LI:#13373896   13/25 peers      4 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 20:16:29 UTC Syncing #13373852 0x2696…d1fe     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   45 Qed Ancient:#12873469 LI:#13373897   13/25 peers      4 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 20:16:37 UTC Syncing #13373852 0x2696…d1fe     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   46 Qed Ancient:#12873469 LI:#13373898   12/25 peers      4 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 20:16:39 UTC Syncing #13373852 0x2696…d1fe     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   46 Qed Ancient:#12873469 LI:#13373898   12/25 peers      4 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 20:16:44 UTC Syncing #13373852 0x2696…d1fe     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   47 Qed Ancient:#12873469 LI:#13373899   13/25 peers      4 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 20:16:51 UTC Syncing #13373853 0xe89d…9f3e     0.20 blk/s   66.2 tx/s    5.0 Mgas/s      0+   47 Qed Ancient:#12873471 LI:#13373900   15/25 peers      4 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 20:16:59 UTC Syncing #13373854 0x2b52…5919     0.20 blk/s   21.4 tx/s    1.6 Mgas/s      0+   46 Qed Ancient:#12873472 LI:#13373900   16/25 peers      4 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 20:16:59 UTC Syncing #13373855 0x9923…d85e     0.20 blk/s   13.8 tx/s    1.1 Mgas/s      0+   45 Qed Ancient:#12873473 LI:#13373900   16/25 peers      4 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 20:17:06 UTC Syncing #13373855 0x9923…d85e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   45 Qed Ancient:#12873473 LI:#13373900   16/25 peers      4 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 20:17:11 UTC Syncing #13373856 0xe09b…8ed1     0.20 blk/s   29.2 tx/s    2.2 Mgas/s      0+   44 Qed Ancient:#12873474 LI:#13373900   16/25 peers      4 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 20:17:14 UTC Syncing #13373856 0xe09b…8ed1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   45 Qed Ancient:#12873474 LI:#13373901   15/25 peers      4 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 20:17:19 UTC Syncing #13373856 0xe09b…8ed1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   45 Qed Ancient:#12873474 LI:#13373901   19/25 peers      5 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
