2021-10-07 14:53:10 UTC Syncing #13372401 0xc453…0adc     0.10 blk/s   20.1 tx/s    1.4 Mgas/s      0+   34 Qed Ancient:#12795875 LI:#13372435    8/25 peers      3 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 14:53:10 UTC Syncing #13372401 0xc453…0adc     0.20 blk/s   40.2 tx/s    2.7 Mgas/s      0+   34 Qed Ancient:#12795875 LI:#13372435    8/25 peers      3 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 14:53:20 UTC Syncing #13372402 0x016d…45b9     0.20 blk/s   42.8 tx/s    3.1 Mgas/s      0+   33 Qed Ancient:#12795876 LI:#13372435    8/25 peers      3 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 14:53:20 UTC Syncing #13372403 0x7f60…c191     0.20 blk/s   45.6 tx/s    2.6 Mgas/s      0+   32 Qed Ancient:#12795877 LI:#13372436    8/25 peers      3 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 14:53:29 UTC Syncing #13372403 0x7f60…c191     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   33 Qed Ancient:#12795877 LI:#13372436    8/25 peers      3 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 14:53:29 UTC Syncing #13372403 0x7f60…c191     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   33 Qed Ancient:#12795877 LI:#13372436    8/25 peers      3 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 14:53:31 UTC Syncing #13372403 0x7f60…c191     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   34 Qed Ancient:#12795877 LI:#13372437    8/25 peers      3 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 14:53:36 UTC Syncing #13372403 0x7f60…c191     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   34 Qed Ancient:#12795877 LI:#13372437    7/25 peers      3 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 14:53:41 UTC Syncing #13372403 0x7f60…c191     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   35 Qed Ancient:#12795877 LI:#13372438    7/25 peers      3 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 14:53:49 UTC Syncing #13372404 0x6661…e31d     0.20 blk/s   88.6 tx/s    6.0 Mgas/s      0+   35 Qed Ancient:#12795878 LI:#13372439    9/25 peers      3 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 14:53:51 UTC Syncing #13372404 0x6661…e31d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   35 Qed Ancient:#12795878 LI:#13372439    9/25 peers      3 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 14:53:56 UTC Syncing #13372404 0x6661…e31d     0.20 blk/s   70.0 tx/s    4.7 Mgas/s      0+   34 Qed Ancient:#12795879 LI:#13372439   11/25 peers      4 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 14:54:01 UTC Syncing #13372404 0x6661…e31d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   34 Qed Ancient:#12795879 LI:#13372439   13/25 peers      6 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 14:54:06 UTC Syncing #13372404 0x6661…e31d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   35 Qed Ancient:#12795879 LI:#13372440   13/25 peers      6 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 14:54:11 UTC Syncing #13372404 0x6661…e31d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   35 Qed Ancient:#12795879 LI:#13372440   16/25 peers      6 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 14:54:13 UTC Reorg to #13372405 0xf77e…6332 (0x6661…e31d #13372403 0x7f60…c191 0x2a9b…701e)
2021-10-07 14:54:33 UTC Syncing #13372406 0x3431…2435     0.12 blk/s   25.9 tx/s    2.2 Mgas/s      0+   34 Qed Ancient:#12795881 LI:#13372440   16/25 peers      6 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 14:54:33 UTC Syncing #13372406 0x3431…2435     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   34 Qed Ancient:#12796034 LI:#13372440   16/25 peers      5 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 14:54:39 UTC Syncing #13372407 0x8300…ea77     0.24 blk/s   19.3 tx/s    1.4 Mgas/s      0+   33 Qed Ancient:#12796036 LI:#13372440   16/25 peers      5 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 14:54:39 UTC Syncing #13372407 0x8300…ea77     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   33 Qed Ancient:#12796153 LI:#13372440   16/25 peers      7 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 14:54:48 UTC Syncing #13372408 0xadec…4708     0.16 blk/s   21.2 tx/s    1.6 Mgas/s      0+   34 Qed Ancient:#12796155 LI:#13372442   13/25 peers      4 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 14:55:18 UTC Syncing #13372408 0xadec…4708     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   33 Qed Ancient:#12796211 LI:#13372442    9/25 peers      5 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 14:55:31 UTC Syncing #13372409 0x56f7…55e4     0.40 blk/s  159.6 tx/s   11.4 Mgas/s      0+   32 Qed Ancient:#12796212 LI:#13372442    9/25 peers      5 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 14:55:31 UTC Syncing #13372410 0x9031…d66a     0.19 blk/s   55.8 tx/s    3.8 Mgas/s      0+   32 Qed Ancient:#12796316 LI:#13372442    9/25 peers      9 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 14:55:31 UTC Syncing #13372410 0x9031…d66a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   32 Qed Ancient:#12796316 LI:#13372443    9/25 peers      5 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 14:55:39 UTC Syncing #13372411 0x314b…87fc     0.20 blk/s    3.9 tx/s    0.3 Mgas/s      0+   31 Qed Ancient:#12796318 LI:#13372443    9/25 peers      5 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 14:55:48 UTC Syncing #13372411 0x314b…87fc     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   32 Qed Ancient:#12796318 LI:#13372444    9/25 peers      5 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 14:55:48 UTC Syncing #13372412 0x9590…8055     0.13 blk/s   33.0 tx/s    2.0 Mgas/s      0+   31 Qed Ancient:#12796319 LI:#13372444    9/25 peers      5 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 14:56:00 UTC Syncing #13372412 0x9590…8055     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   31 Qed Ancient:#12796319 LI:#13372444    9/25 peers      5 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
