2021-10-06 02:01:36 UTC Syncing #13362577 0x6904…dc29     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   27 Qed Ancient:#12356875 LI:#13362604   19/25 peers      4 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:01:41 UTC Syncing #13362577 0x6904…dc29     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   27 Qed Ancient:#12356875 LI:#13362604   23/25 peers      4 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:01:47 UTC Syncing #13362577 0x6904…dc29     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   28 Qed Ancient:#12356875 LI:#13362605   25/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:01:58 UTC Syncing #13362578 0xb703…95d2     0.10 blk/s   40.0 tx/s    3.0 Mgas/s      0+   27 Qed Ancient:#12356876 LI:#13362605   25/25 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:01:58 UTC Syncing #13362578 0xb703…95d2     0.20 blk/s   80.0 tx/s    5.9 Mgas/s      0+   27 Qed Ancient:#12356876 LI:#13362605   25/25 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:02:01 UTC Syncing #13362578 0xb703…95d2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   28 Qed Ancient:#12356876 LI:#13362606   23/25 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:02:07 UTC Syncing #13362578 0xb703…95d2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   28 Qed Ancient:#12356876 LI:#13362606   23/25 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:02:12 UTC Syncing #13362579 0x7493…4e8d     0.20 blk/s   39.4 tx/s    3.6 Mgas/s      0+   27 Qed Ancient:#12356877 LI:#13362606   23/25 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:02:19 UTC Syncing #13362579 0x7493…4e8d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   27 Qed Ancient:#12356877 LI:#13362606   23/25 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:02:21 UTC Syncing #13362579 0x7493…4e8d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   27 Qed Ancient:#12356877 LI:#13362606   22/25 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:02:33 UTC Syncing #13362580 0xbb13…c8b3     0.10 blk/s    9.1 tx/s    0.7 Mgas/s      0+   26 Qed Ancient:#12356878 LI:#13362606   22/25 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:02:33 UTC Syncing #13362580 0xbb13…c8b3     0.20 blk/s   18.4 tx/s    1.5 Mgas/s      0+   26 Qed Ancient:#12356878 LI:#13362606   22/25 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:02:36 UTC Syncing #13362580 0xbb13…c8b3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   28 Qed Ancient:#12356878 LI:#13362608   19/25 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
