2021-10-06 01:42:26 UTC Syncing #13362511 0x326e…7424     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#12353087 LI:#13362516   30/50 peers    216 KiB chain  685 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:42:41 UTC Syncing #13362511 0x326e…7424     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#12353087 LI:#13362517   29/50 peers    216 KiB chain  901 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:42:41 UTC Syncing #13362511 0x326e…7424     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#12353087 LI:#13362517   29/50 peers    216 KiB chain  901 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:42:43 UTC Syncing #13362511 0x326e…7424     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#12353087 LI:#13362517   29/50 peers    216 KiB chain  901 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:42:46 UTC Syncing #13362511 0x326e…7424     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#12353087 LI:#13362517   29/50 peers    216 KiB chain  901 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:42:51 UTC Syncing #13362511 0x326e…7424     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#12353087 LI:#13362518   24/25 peers    216 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:42:56 UTC Syncing #13362511 0x326e…7424     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12353087 LI:#13362520   23/25 peers    216 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:43:01 UTC Syncing #13362511 0x326e…7424     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#12353087 LI:#13362521   15/25 peers    216 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:43:06 UTC Syncing #13362511 0x326e…7424     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#12353087 LI:#13362521   14/25 peers    216 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:43:11 UTC Syncing #13362511 0x326e…7424     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#12353087 LI:#13362521   13/25 peers    216 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:43:42 UTC Syncing #13362512 0x7c2c…ac0b     0.10 blk/s   28.0 tx/s    2.5 Mgas/s      0+    8 Qed Ancient:#12353088 LI:#13362521   14/25 peers    216 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:43:42 UTC Syncing #13362512 0x7c2c…ac0b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12353088 LI:#13362521   14/25 peers    216 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:43:42 UTC Syncing #13362512 0x7c2c…ac0b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12353088 LI:#13362521   14/25 peers    216 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:43:42 UTC Syncing #13362511 0x326e…7424     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#12353087 LI:#13362521   14/25 peers    216 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:43:46 UTC Syncing #13362513 0x00ac…b654     0.10 blk/s   16.3 tx/s    1.8 Mgas/s      0+    9 Qed Ancient:#12353089 LI:#13362523   14/25 peers    217 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:43:51 UTC Syncing #13362513 0x00ac…b654     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#12353089 LI:#13362523   14/25 peers    217 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:43:56 UTC Syncing #13362514 0x3621…d98a     0.20 blk/s   17.8 tx/s    1.2 Mgas/s      0+    8 Qed Ancient:#12353090 LI:#13362523   13/25 peers    357 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:44:01 UTC Syncing #13362514 0x3621…d98a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12353090 LI:#13362523   13/25 peers    357 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:44:06 UTC Syncing #13362514 0x3621…d98a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12353090 LI:#13362523   17/25 peers    367 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
