2021-10-07 18:56:13 UTC Syncing #13373486 0x837d…617b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#12853393 LI:#13373497    2/25 peers      3 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 18:56:20 UTC Syncing #13373487 0x4885…c1e7     0.20 blk/s   92.8 tx/s    6.0 Mgas/s      0+   10 Qed Ancient:#12853394 LI:#13373497    2/25 peers      3 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 18:56:29 UTC Syncing #13373488 0xa701…538e     0.10 blk/s    7.4 tx/s    0.6 Mgas/s      0+    9 Qed Ancient:#12853395 LI:#13373497    2/25 peers      3 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 18:56:29 UTC Syncing #13373488 0xa701…538e     0.20 blk/s   14.8 tx/s    1.2 Mgas/s      0+    9 Qed Ancient:#12853395 LI:#13373497    2/25 peers      3 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 18:56:33 UTC Could not revert to previous block, last: 13373497 (0x8f27…84f5)
2021-10-07 18:56:33 UTC Syncing #13373488 0xa701…538e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#12853395 LI:#13373488    2/25 peers      3 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 18:56:38 UTC Syncing #13373488 0xa701…538e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#12853395 LI:#13373488    2/25 peers      3 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 18:56:43 UTC Syncing #13373488 0xa701…538e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#12853395 LI:#13373488    2/25 peers      3 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 18:56:48 UTC Syncing #13373488 0xa701…538e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#12853395 LI:#13373488    1/25 peers      3 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 18:56:55 UTC Syncing #13373489 0xfdea…8082     0.20 blk/s   98.8 tx/s    6.0 Mgas/s      0+    8 Qed Ancient:#12853396 LI:#13373488    1/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 18:56:58 UTC Syncing #13373489 0xfdea…8082     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12853396 LI:#13373488    2/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 18:57:05 UTC Syncing #13373490 0xa50e…0210     0.20 blk/s   28.0 tx/s    2.4 Mgas/s      0+    7 Qed Ancient:#12853397 LI:#13373488    1/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
