2021-10-06 02:17:31 UTC Syncing #13362692 0xfa16…bfc2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#12360503 LI:#13362697   26/50 peers      5 MiB chain  441 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:17:36 UTC Syncing #13362692 0xfa16…bfc2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#12360503 LI:#13362697   26/50 peers      5 MiB chain  441 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:17:41 UTC Syncing #13362693 0x9577…9659     0.20 blk/s   49.2 tx/s    3.8 Mgas/s      0+    5 Qed Ancient:#12360504 LI:#13362698   25/25 peers      5 MiB chain  898 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:18:01 UTC Syncing #13362696 0xeab6…f82f     0.20 blk/s   13.3 tx/s    0.6 Mgas/s      0+    4 Qed Ancient:#12360508 LI:#13362701   24/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:18:04 UTC Reorg to #13362697 0xe35d…3a95 (0xeab6…f82f #13362695 0x6614…893f 0x73c3…2bcc)
2021-10-06 02:18:26 UTC Syncing #13362697 0xe35d…3a95     0.04 blk/s    6.9 tx/s    0.4 Mgas/s      0+    4 Qed Ancient:#12360509 LI:#13362702   17/25 peers      5 MiB chain 1007 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:18:56 UTC  Ancient:#12360513 AB:#12363792   20/25 peers      5 MiB chain  740 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:19:27 UTC  Ancient:#12360514 AB:#12363792   19/25 peers      5 MiB chain  354 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:19:36 UTC Syncing #13362702 0xb208…ad52     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#12360514 LI:#13362707   18/25 peers      5 MiB chain  968 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:19:42 UTC Syncing #13362703 0x1dc9…110d     0.20 blk/s   39.4 tx/s    4.6 Mgas/s      0+    4 Qed Ancient:#12360515 LI:#13362708   20/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:19:50 UTC Syncing #13362703 0x1dc9…110d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#12360515 LI:#13362708   20/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:19:51 UTC Syncing #13362703 0x1dc9…110d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#12360515 LI:#13362709   19/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:20:25 UTC  Ancient:#12360518 AB:#12363827   19/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
