2021-10-07 18:50:43 UTC Syncing #13373464 0xfcbf…25a6     0.10 blk/s   13.1 tx/s    0.9 Mgas/s      0+   27 Qed Ancient:#12853366 LI:#13373488   26/50 peers      6 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 18:50:43 UTC Syncing #13373464 0xfcbf…25a6     0.20 blk/s   26.2 tx/s    1.7 Mgas/s      0+   27 Qed Ancient:#12853366 LI:#13373488   26/50 peers      6 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 18:50:54 UTC Syncing #13373464 0xfcbf…25a6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   27 Qed Ancient:#12853366 LI:#13373488   27/50 peers      6 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 18:50:54 UTC Syncing #13373464 0xfcbf…25a6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   27 Qed Ancient:#12853366 LI:#13373488   27/50 peers      6 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 18:50:58 UTC Syncing #13373465 0x7ccf…c636     0.40 blk/s   56.0 tx/s    6.5 Mgas/s      0+   26 Qed Ancient:#12853367 LI:#13373488   27/50 peers      6 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 18:51:04 UTC Syncing #13373466 0x674e…5142     0.20 blk/s    5.4 tx/s    0.4 Mgas/s      0+   24 Qed Ancient:#12853369 LI:#13373488   27/50 peers      6 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 18:51:08 UTC Syncing #13373466 0x674e…5142     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   24 Qed Ancient:#12853369 LI:#13373488   26/50 peers      6 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 18:51:13 UTC Syncing #13373466 0x674e…5142     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   24 Qed Ancient:#12853369 LI:#13373488   28/50 peers      6 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 18:51:18 UTC Syncing #13373466 0x674e…5142     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   24 Qed Ancient:#12853369 LI:#13373488   28/50 peers      6 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 18:51:23 UTC Syncing #13373466 0x674e…5142     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   25 Qed Ancient:#12853369 LI:#13373489   28/50 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 18:51:28 UTC Syncing #13373467 0xd527…fe5f     0.20 blk/s   92.6 tx/s    6.0 Mgas/s      0+   26 Qed Ancient:#12853370 LI:#13373491   27/50 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 18:51:33 UTC Syncing #13373467 0xd527…fe5f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   27 Qed Ancient:#12853370 LI:#13373492   27/50 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
