2021-10-06 02:39:11 UTC Syncing #13362745 0xb1b4…0160     0.10 blk/s    1.6 tx/s    0.1 Mgas/s      0+   57 Qed Ancient:#12367418 LI:#13362800   14/25 peers      5 MiB chain   16 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:39:19 UTC Syncing #13362747 0xa4d3…62ee     0.40 blk/s   50.8 tx/s    4.1 Mgas/s      0+   55 Qed Ancient:#12367420 LI:#13362800   13/25 peers      5 MiB chain   15 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:39:27 UTC Syncing #13362747 0xa4d3…62ee     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   56 Qed Ancient:#12367420 LI:#13362801   13/25 peers      5 MiB chain   16 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:39:27 UTC Syncing #13362747 0xa4d3…62ee     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   56 Qed Ancient:#12367420 LI:#13362801   13/25 peers      5 MiB chain   16 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:39:31 UTC Syncing #13362747 0xa4d3…62ee     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   57 Qed Ancient:#12367420 LI:#13362802   10/25 peers      5 MiB chain   16 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:39:36 UTC Syncing #13362747 0xa4d3…62ee     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   57 Qed Ancient:#12367420 LI:#13362802   10/25 peers      5 MiB chain   16 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:39:44 UTC Syncing #13362749 0x7314…2e6e     0.40 blk/s   89.8 tx/s    6.9 Mgas/s      0+   56 Qed Ancient:#12367422 LI:#13362803   10/25 peers      5 MiB chain   17 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:39:52 UTC Syncing #13362749 0x7314…2e6e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   56 Qed Ancient:#12367422 LI:#13362803   10/25 peers      5 MiB chain   17 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:39:52 UTC Syncing #13362749 0x7314…2e6e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   56 Qed Ancient:#12367422 LI:#13362803   10/25 peers      5 MiB chain   17 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:39:56 UTC Syncing #13362749 0x7314…2e6e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   56 Qed Ancient:#12367422 LI:#13362803   10/25 peers      5 MiB chain   17 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:40:04 UTC Syncing #13362750 0xf5ec…37cc     0.20 blk/s   42.0 tx/s    3.4 Mgas/s      0+   56 Qed Ancient:#12367423 LI:#13362804   10/25 peers      5 MiB chain   17 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:40:06 UTC Syncing #13362750 0xf5ec…37cc     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   56 Qed Ancient:#12367423 LI:#13362804   10/25 peers      5 MiB chain   17 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:40:11 UTC Syncing #13362750 0xf5ec…37cc     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   57 Qed Ancient:#12367423 LI:#13362805   13/25 peers      5 MiB chain   17 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:40:16 UTC Syncing #13362750 0xf5ec…37cc     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   57 Qed Ancient:#12367423 LI:#13362805   14/25 peers      5 MiB chain   17 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:40:28 UTC Syncing #13362752 0xda81…85eb     0.20 blk/s   26.1 tx/s    2.2 Mgas/s      0+   57 Qed Ancient:#12367425 LI:#13362807   16/25 peers      5 MiB chain   17 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:40:28 UTC Syncing #13362752 0xda81…85eb     0.40 blk/s   52.2 tx/s    4.5 Mgas/s      0+   57 Qed Ancient:#12367425 LI:#13362807   16/25 peers      5 MiB chain   17 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:40:33 UTC Syncing #13362752 0xda81…85eb     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   59 Qed Ancient:#12367425 LI:#13362809   16/25 peers      5 MiB chain   17 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
