2021-10-07 22:57:56 UTC Syncing #13374569 0xf257…55bf     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   21 Qed Ancient:#12907579 LI:#13374590   12/25 peers      6 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 22:58:01 UTC Syncing #13374569 0xf257…55bf     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   22 Qed Ancient:#12907579 LI:#13374591   15/25 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 22:58:10 UTC Syncing #13374570 0x1d65…4c2e     0.20 blk/s   49.4 tx/s    3.7 Mgas/s      0+   22 Qed Ancient:#12907580 LI:#13374592   17/25 peers      6 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 22:58:11 UTC Syncing #13374570 0x1d65…4c2e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   22 Qed Ancient:#12907580 LI:#13374592   17/25 peers      6 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 22:58:18 UTC Syncing #13374571 0xff68…2ee4     0.20 blk/s   81.6 tx/s    6.0 Mgas/s      0+   21 Qed Ancient:#12907581 LI:#13374592   19/25 peers      6 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 22:58:24 UTC Syncing #13374571 0xff68…2ee4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   23 Qed Ancient:#12907581 LI:#13374594   18/25 peers      6 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 22:58:29 UTC Syncing #13374573 0xd993…4deb     0.40 blk/s   99.6 tx/s    8.0 Mgas/s      0+   21 Qed Ancient:#12907583 LI:#13374594   18/25 peers      6 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 22:58:35 UTC Syncing #13374575 0xd16b…e2d3     0.40 blk/s   56.2 tx/s    3.5 Mgas/s      0+   19 Qed Ancient:#12907585 LI:#13374594   17/25 peers      6 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 22:58:39 UTC Syncing #13374576 0x3cda…ff27     0.20 blk/s   47.6 tx/s    3.1 Mgas/s      0+   18 Qed Ancient:#12907586 LI:#13374594   17/25 peers      6 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 22:58:44 UTC Syncing #13374578 0x653d…e3f5     0.60 blk/s   58.6 tx/s    4.6 Mgas/s      0+   15 Qed Ancient:#12907589 LI:#13374594   17/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 22:58:51 UTC Syncing #13374578 0x653d…e3f5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#12907589 LI:#13374594   17/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 22:58:51 UTC Syncing #13374578 0x653d…e3f5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#12907589 LI:#13374594   17/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 22:58:58 UTC Syncing #13374580 0x881d…992d     0.40 blk/s   74.6 tx/s    7.3 Mgas/s      0+   13 Qed Ancient:#12907591 LI:#13374594   17/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 22:59:04 UTC Syncing #13374581 0x9ced…9222     0.20 blk/s   34.2 tx/s    2.5 Mgas/s      0+   12 Qed Ancient:#12907592 LI:#13374594   17/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 22:59:10 UTC Syncing #13374582 0x141b…a831     0.20 blk/s   29.6 tx/s    2.2 Mgas/s      0+   12 Qed Ancient:#12907593 LI:#13374595   17/25 peers      4 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 22:59:23 UTC Syncing #13374582 0x141b…a831     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#12907593 LI:#13374595   16/25 peers      4 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 22:59:23 UTC Syncing #13374584 0x5811…df1d     0.20 blk/s   64.7 tx/s    4.6 Mgas/s      0+   10 Qed Ancient:#12907595 LI:#13374595   16/25 peers      4 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 22:59:23 UTC Syncing #13374584 0x5811…df1d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#12907595 LI:#13374595   16/25 peers      4 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 22:59:28 UTC Syncing #13374584 0x5811…df1d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#12907595 LI:#13374595   16/25 peers      4 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 22:59:33 UTC Syncing #13374585 0x8ad3…e19c     0.20 blk/s   84.8 tx/s    6.0 Mgas/s      0+    9 Qed Ancient:#12907596 LI:#13374595   16/25 peers      4 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 22:59:38 UTC Syncing #13374587 0x8d1f…18bb     0.40 blk/s   66.8 tx/s    5.0 Mgas/s      0+    7 Qed Ancient:#12907598 LI:#13374595   16/25 peers      4 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 22:59:44 UTC Syncing #13374588 0x9c1a…3083     0.20 blk/s  112.8 tx/s    4.7 Mgas/s      0+    7 Qed Ancient:#12907599 LI:#13374596   16/25 peers      4 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 22:59:49 UTC Syncing #13374590 0x4b37…5917     0.40 blk/s   40.6 tx/s    2.3 Mgas/s      0+    5 Qed Ancient:#12907601 LI:#13374596   16/25 peers      4 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 22:59:55 UTC Syncing #13374591 0x9696…2b6b     0.20 blk/s   37.6 tx/s    2.4 Mgas/s      0+    5 Qed Ancient:#12907602 LI:#13374597   16/25 peers      4 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
