2021-10-07 22:52:21 UTC Syncing #13374544 0x9d50…458d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#12907440 LI:#13374565   14/25 peers      1 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 22:52:26 UTC Syncing #13374545 0xa93f…787d     0.20 blk/s   56.6 tx/s    3.9 Mgas/s      0+   19 Qed Ancient:#12907441 LI:#13374565   14/25 peers      1 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 22:52:32 UTC Syncing #13374546 0x49fe…e577     0.20 blk/s   15.6 tx/s    0.9 Mgas/s      0+   18 Qed Ancient:#12907443 LI:#13374565   14/25 peers      2 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 22:52:36 UTC Syncing #13374546 0x49fe…e577     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#12907443 LI:#13374567   13/25 peers      2 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 22:52:41 UTC Syncing #13374546 0x49fe…e577     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#12907443 LI:#13374567   13/25 peers      2 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 22:52:46 UTC Syncing #13374546 0x49fe…e577     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   22 Qed Ancient:#12907443 LI:#13374569   16/25 peers      2 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 22:52:51 UTC Syncing #13374546 0x49fe…e577     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   22 Qed Ancient:#12907443 LI:#13374569   18/25 peers      2 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 22:52:56 UTC Syncing #13374546 0x49fe…e577     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   22 Qed Ancient:#12907443 LI:#13374569   20/25 peers      2 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 22:53:04 UTC Syncing #13374547 0x75bb…e0d2     0.20 blk/s   76.6 tx/s    6.0 Mgas/s      0+   21 Qed Ancient:#12907444 LI:#13374569   20/25 peers      2 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 22:53:06 UTC Syncing #13374547 0x75bb…e0d2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   22 Qed Ancient:#12907444 LI:#13374570   17/25 peers      2 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 22:53:22 UTC Syncing #13374549 0x3c5b…81f2     0.15 blk/s   17.2 tx/s    1.3 Mgas/s      0+   21 Qed Ancient:#12907515 LI:#13374570   18/25 peers      4 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 22:53:22 UTC Syncing #13374549 0x3c5b…81f2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   21 Qed Ancient:#12907557 LI:#13374570   18/25 peers      6 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 22:53:29 UTC Syncing #13374549 0x3c5b…81f2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#12907558 LI:#13374570   15/25 peers      6 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 22:53:32 UTC Syncing #13374549 0x3c5b…81f2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#12907558 LI:#13374570   15/25 peers      3 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 22:53:36 UTC Syncing #13374549 0x3c5b…81f2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#12907558 LI:#13374570   13/25 peers      3 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 22:53:45 UTC Syncing #13374550 0x4da9…d595     0.20 blk/s   33.2 tx/s    2.6 Mgas/s      0+   19 Qed Ancient:#12907559 LI:#13374570   13/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
