2021-10-06 06:13:43 UTC Syncing #13363761 0x4c54…662e     0.38 blk/s    9.8 tx/s    1.5 Mgas/s      0+   27 Qed Ancient:#12416183 LI:#13363786   21/25 peers      5 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:13:49 UTC Syncing #13363762 0x7d7c…b213     0.17 blk/s    5.0 tx/s    0.4 Mgas/s      0+   26 Qed Ancient:#12416313 LI:#13363786   21/25 peers      5 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:14:00 UTC Syncing #13363762 0x7d7c…b213     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   26 Qed Ancient:#12416443 LI:#13363787   23/25 peers      4 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:14:09 UTC Syncing #13363762 0x7d7c…b213     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   26 Qed Ancient:#12416443 LI:#13363787   23/25 peers      4 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:14:18 UTC Syncing #13363764 0x0f2d…c16e     0.40 blk/s   52.8 tx/s    4.2 Mgas/s      0+   25 Qed Ancient:#12416445 LI:#13363788   23/25 peers      4 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:14:18 UTC Syncing #13363764 0x0f2d…c16e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   25 Qed Ancient:#12416445 LI:#13363788   23/25 peers      4 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:14:27 UTC Syncing #13363764 0x0f2d…c16e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   25 Qed Ancient:#12416445 LI:#13363788   21/25 peers      4 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:14:27 UTC Syncing #13363764 0x0f2d…c16e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   25 Qed Ancient:#12416445 LI:#13363788   21/25 peers      4 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:14:37 UTC Syncing #13363765 0x8b02…19de     0.11 blk/s   32.7 tx/s    2.6 Mgas/s      0+   24 Qed Ancient:#12416446 LI:#13363788   21/25 peers      4 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:14:37 UTC Syncing #13363764 0x0f2d…c16e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   25 Qed Ancient:#12416445 LI:#13363788   21/25 peers      4 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:14:47 UTC Syncing #13363765 0x8b02…19de     0.10 blk/s   29.6 tx/s    2.4 Mgas/s      0+   24 Qed Ancient:#12416446 LI:#13363788   21/25 peers      4 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:14:47 UTC Syncing #13363765 0x8b02…19de     0.20 blk/s   59.2 tx/s    4.8 Mgas/s      0+   24 Qed Ancient:#12416446 LI:#13363788   21/25 peers      4 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:14:56 UTC Syncing #13363766 0x9779…500c     0.20 blk/s   27.6 tx/s    2.2 Mgas/s      0+   27 Qed Ancient:#12416447 LI:#13363792   16/25 peers      4 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:15:04 UTC Syncing #13363767 0xe592…fa9f     0.10 blk/s    7.0 tx/s    0.5 Mgas/s      0+   27 Qed Ancient:#12416448 LI:#13363793   16/25 peers      4 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:15:04 UTC Syncing #13363767 0xe592…fa9f     0.20 blk/s   14.0 tx/s    1.0 Mgas/s      0+   27 Qed Ancient:#12416448 LI:#13363793   16/25 peers      4 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:15:07 UTC Syncing #13363767 0xe592…fa9f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   27 Qed Ancient:#12416448 LI:#13363793   12/25 peers      4 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:15:17 UTC Syncing #13363768 0x2ef5…2e26     0.20 blk/s   42.6 tx/s    3.6 Mgas/s      0+   26 Qed Ancient:#12416449 LI:#13363793   12/25 peers      4 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:15:17 UTC Syncing #13363769 0x4557…e8bc     0.20 blk/s   31.4 tx/s    2.6 Mgas/s      0+   25 Qed Ancient:#12416450 LI:#13363793   12/25 peers      4 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 06:15:26 UTC Syncing #13363769 0x4557…e8bc     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   27 Qed Ancient:#12416450 LI:#13363795   10/25 peers      4 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
