2021-10-08 01:39:52 UTC Syncing #13375315 0x0dff…65ea     0.20 blk/s   38.2 tx/s    3.0 Mgas/s      0+   30 Qed Ancient:#12940105 LI:#13375344    3/25 peers      5 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:39:53 UTC Syncing #13375315 0x0dff…65ea     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   30 Qed Ancient:#12940105 LI:#13375344    3/25 peers      5 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:39:58 UTC Syncing #13375315 0x0dff…65ea     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   30 Qed Ancient:#12940105 LI:#13375344    3/25 peers      5 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:40:13 UTC Syncing #13375316 0xee1a…6cfe     0.10 blk/s   42.0 tx/s    3.0 Mgas/s      0+   33 Qed Ancient:#12940107 LI:#13375348    2/25 peers      5 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:40:13 UTC Syncing #13375316 0xee1a…6cfe     0.20 blk/s   84.0 tx/s    6.0 Mgas/s      0+   33 Qed Ancient:#12940107 LI:#13375348    2/25 peers      5 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:40:13 UTC Syncing #13375316 0xee1a…6cfe     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   33 Qed Ancient:#12940107 LI:#13375348    2/25 peers      5 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:40:18 UTC Syncing #13375316 0xee1a…6cfe     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   34 Qed Ancient:#12940107 LI:#13375349    2/25 peers      5 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:40:23 UTC Syncing #13375316 0xee1a…6cfe     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   34 Qed Ancient:#12940107 LI:#13375349    2/25 peers      5 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:40:28 UTC Syncing #13375317 0x67e9…07c9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   34 Qed Ancient:#12940107 LI:#13375349    2/25 peers      5 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:40:34 UTC Syncing #13375317 0x67e9…07c9     0.20 blk/s   66.8 tx/s    6.0 Mgas/s      0+   33 Qed Ancient:#12940109 LI:#13375349    2/25 peers      5 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:40:38 UTC Syncing #13375317 0x67e9…07c9     0.20 blk/s   59.2 tx/s    5.9 Mgas/s      0+   32 Qed Ancient:#12940110 LI:#13375349    2/25 peers      6 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:40:41 UTC Reorg to #13375318 0x02ea…f3c3 (0x67e9…07c9 #13375316 0xee1a…6cfe 0xf805…c3cd)
2021-10-08 01:40:51 UTC Syncing #13375318 0x02ea…f3c3     0.10 blk/s    7.2 tx/s    0.8 Mgas/s      0+   32 Qed Ancient:#12940111 LI:#13375350    2/25 peers      6 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:40:51 UTC Syncing #13375318 0x02ea…f3c3     0.20 blk/s   14.4 tx/s    1.6 Mgas/s      0+   32 Qed Ancient:#12940111 LI:#13375350    2/25 peers      6 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:40:53 UTC Syncing #13375318 0x02ea…f3c3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   32 Qed Ancient:#12940111 LI:#13375350    2/25 peers      6 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:40:58 UTC Syncing #13375318 0x02ea…f3c3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   33 Qed Ancient:#12940111 LI:#13375351    4/25 peers      6 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:41:03 UTC Syncing #13375318 0x02ea…f3c3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   34 Qed Ancient:#12940111 LI:#13375352    6/25 peers      6 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:41:08 UTC Syncing #13375319 0xff9d…cd21     0.20 blk/s  104.8 tx/s    5.8 Mgas/s      0+   34 Qed Ancient:#12940113 LI:#13375353    6/25 peers      6 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:41:13 UTC Syncing #13375319 0xff9d…cd21     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   34 Qed Ancient:#12940113 LI:#13375353    6/25 peers      6 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:41:18 UTC Syncing #13375319 0xff9d…cd21     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   34 Qed Ancient:#12940113 LI:#13375353    6/25 peers      6 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:41:30 UTC Syncing #13375319 0xff9d…cd21     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   34 Qed Ancient:#12940113 LI:#13375353    7/25 peers      6 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:41:30 UTC Syncing #13375319 0xff9d…cd21     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   34 Qed Ancient:#12940113 LI:#13375353    7/25 peers      6 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:41:33 UTC Syncing #13375319 0xff9d…cd21     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   35 Qed Ancient:#12940113 LI:#13375354    5/25 peers      6 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:41:48 UTC Syncing #13375320 0x5768…398c     0.07 blk/s   32.4 tx/s    2.0 Mgas/s      0+   34 Qed Ancient:#12940114 LI:#13375354    5/25 peers      6 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:41:48 UTC Syncing #13375320 0x5768…398c     0.20 blk/s   97.2 tx/s    6.0 Mgas/s      0+   34 Qed Ancient:#12940114 LI:#13375354    5/25 peers      6 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:41:48 UTC Syncing #13375320 0x5768…398c     0.10 blk/s   48.6 tx/s    3.0 Mgas/s      0+   34 Qed Ancient:#12940114 LI:#13375354    5/25 peers      6 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:41:53 UTC Syncing #13375320 0x5768…398c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   35 Qed Ancient:#12940114 LI:#13375355    5/25 peers      6 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:42:05 UTC Syncing #13375322 0xf243…454e     0.20 blk/s   45.3 tx/s    3.7 Mgas/s      0+   33 Qed Ancient:#12940116 LI:#13375355    3/25 peers      6 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 01:42:05 UTC Syncing #13375321 0x32ce…1de4     0.20 blk/s   77.0 tx/s    5.9 Mgas/s      0+   34 Qed Ancient:#12940115 LI:#13375355    3/25 peers      6 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
