2021-10-06 07:23:58 UTC Syncing #13364074 0x1697…ac86     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#12425880 LI:#13364088   14/25 peers      2 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:24:02 UTC Syncing #13364074 0x1697…ac86     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#12425880 LI:#13364089   14/25 peers      2 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:24:07 UTC Syncing #13364074 0x1697…ac86     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#12425880 LI:#13364089   15/25 peers      2 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:24:12 UTC Syncing #13364074 0x1697…ac86     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#12425880 LI:#13364089   16/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:24:17 UTC Syncing #13364074 0x1697…ac86     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#12425880 LI:#13364090   16/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:24:24 UTC Syncing #13364074 0x1697…ac86     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#12425880 LI:#13364090   16/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:24:27 UTC Syncing #13364075 0xb943…fc58     0.20 blk/s   79.4 tx/s    5.7 Mgas/s      0+   16 Qed Ancient:#12425881 LI:#13364092   16/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:24:33 UTC Syncing #13364075 0xb943…fc58     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#12425881 LI:#13364092   16/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:24:42 UTC Syncing #13364076 0x7f47…77d7     0.20 blk/s   23.2 tx/s    2.4 Mgas/s      0+   15 Qed Ancient:#12425882 LI:#13364092   16/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:24:42 UTC Syncing #13364078 0xc379…d44b     0.40 blk/s   20.2 tx/s    2.6 Mgas/s      2+   13 Qed Ancient:#12425884 LI:#13364095   16/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:24:50 UTC Syncing #13364078 0xc379…d44b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#12425884 LI:#13364095   15/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:24:52 UTC Syncing #13364078 0xc379…d44b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#12425884 LI:#13364095   15/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:24:57 UTC Syncing #13364078 0xc379…d44b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#12425884 LI:#13364095   15/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:25:06 UTC Syncing #13364078 0xc379…d44b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#12425884 LI:#13364095   15/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:25:13 UTC Syncing #13364079 0xfa65…ec18     0.10 blk/s   37.9 tx/s    3.0 Mgas/s      0+   17 Qed Ancient:#12425885 LI:#13364096   15/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:25:13 UTC Syncing #13364079 0xfa65…ec18     0.20 blk/s   75.8 tx/s    6.0 Mgas/s      0+   17 Qed Ancient:#12425885 LI:#13364096   15/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:25:17 UTC Syncing #13364079 0xfa65…ec18     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#12425885 LI:#13364097   15/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:25:22 UTC Syncing #13364079 0xfa65…ec18     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#12425885 LI:#13364098   17/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:25:27 UTC Syncing #13364079 0xfa65…ec18     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#12425885 LI:#13364098   20/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:25:34 UTC Syncing #13364080 0xedb6…8130     0.20 blk/s   80.0 tx/s    6.0 Mgas/s      0+   18 Qed Ancient:#12425886 LI:#13364098   20/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:25:37 UTC Syncing #13364080 0xedb6…8130     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#12425886 LI:#13364098   23/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:25:48 UTC Syncing #13364080 0xedb6…8130     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#12425886 LI:#13364098   24/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:25:48 UTC Syncing #13364080 0xedb6…8130     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#12425886 LI:#13364098   24/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:25:58 UTC Syncing #13364082 0x88c9…798b     0.20 blk/s   31.3 tx/s    3.9 Mgas/s      0+   16 Qed Ancient:#12425889 LI:#13364098   26/50 peers      4 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:25:58 UTC Syncing #13364082 0x88c9…798b     0.40 blk/s   62.6 tx/s    7.7 Mgas/s      0+   16 Qed Ancient:#12425889 LI:#13364098   26/50 peers      4 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:26:02 UTC Syncing #13364083 0x48f1…50cc     0.20 blk/s   30.0 tx/s    2.2 Mgas/s      0+   15 Qed Ancient:#12425890 LI:#13364098   26/50 peers      4 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:26:07 UTC Syncing #13364083 0x48f1…50cc     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#12425890 LI:#13364100   25/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:26:12 UTC Syncing #13364084 0xf535…b712     0.20 blk/s   37.8 tx/s    2.6 Mgas/s      0+   18 Qed Ancient:#12425891 LI:#13364101   24/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:26:17 UTC Syncing #13364084 0xf535…b712     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#12425891 LI:#13364101   24/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:26:22 UTC Syncing #13364084 0xf535…b712     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#12425891 LI:#13364101   24/25 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
