2021-10-06 07:28:22 UTC Syncing #13364095 0xe9e1…5568     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#12425904 LI:#13364111   21/25 peers      6 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:28:40 UTC Syncing #13364096 0x2b02…6c69     0.20 blk/s   98.2 tx/s    6.0 Mgas/s      0+   17 Qed Ancient:#12425905 LI:#13364112   14/25 peers      7 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:28:40 UTC Syncing #13364096 0x2b02…6c69     0.10 blk/s   49.1 tx/s    3.0 Mgas/s      0+   17 Qed Ancient:#12425905 LI:#13364112   14/25 peers      6 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:28:40 UTC Syncing #13364096 0x2b02…6c69     0.07 blk/s   32.7 tx/s    2.0 Mgas/s      0+   17 Qed Ancient:#12425905 LI:#13364113   14/25 peers      6 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:28:42 UTC Syncing #13364096 0x2b02…6c69     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#12425905 LI:#13364114   14/25 peers      4 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:28:52 UTC Syncing #13364097 0x0529…d3a1     0.20 blk/s   36.8 tx/s    3.0 Mgas/s      0+   18 Qed Ancient:#12425906 LI:#13364114   14/25 peers      4 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:28:52 UTC Syncing #13364097 0x0529…d3a1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#12425906 LI:#13364114   14/25 peers      4 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:29:01 UTC Syncing #13364098 0xc97a…edf6     0.20 blk/s   33.4 tx/s    3.2 Mgas/s      0+   17 Qed Ancient:#12425907 LI:#13364114   18/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:29:02 UTC Syncing #13364098 0xc97a…edf6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#12425907 LI:#13364115   17/25 peers      4 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:29:07 UTC Syncing #13364101 0x9826…5407     0.60 blk/s  124.8 tx/s   10.1 Mgas/s      0+   15 Qed Ancient:#12425910 LI:#13364115   17/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
