2021-10-07 11:02:50 UTC Syncing #13371411 0x81f6…54bc     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#12753122 LI:#13371416   30/50 peers    215 KiB chain  693 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 11:02:55 UTC Syncing #13371411 0x81f6…54bc     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#12753122 LI:#13371416   29/50 peers    215 KiB chain  693 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 11:03:00 UTC Syncing #13371411 0x81f6…54bc     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#12753122 LI:#13371417   29/50 peers    215 KiB chain  872 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 11:03:05 UTC Syncing #13371412 0xd74a…285d     0.20 blk/s   68.6 tx/s    6.0 Mgas/s      0+    4 Qed Ancient:#12753123 LI:#13371417   29/50 peers    215 KiB chain  612 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 11:03:10 UTC Syncing #13371412 0xd74a…285d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#12753123 LI:#13371418   29/50 peers    215 KiB chain  945 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 11:03:15 UTC Syncing #13371412 0xd74a…285d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#12753123 LI:#13371418   29/50 peers    215 KiB chain  945 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 11:03:20 UTC Syncing #13371412 0xd74a…285d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#12753123 LI:#13371418   30/50 peers    215 KiB chain  945 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 11:03:25 UTC Syncing #13371412 0xd74a…285d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#12753123 LI:#13371418   29/50 peers    215 KiB chain  945 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 11:03:30 UTC Syncing #13371413 0xfeaa…80b2     0.20 blk/s   39.6 tx/s    3.4 Mgas/s      0+    5 Qed Ancient:#12753124 LI:#13371419   30/50 peers    356 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 11:03:35 UTC Syncing #13371413 0xfeaa…80b2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#12753124 LI:#13371419   30/50 peers    356 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 11:03:40 UTC Syncing #13371415 0xf826…ca58     0.40 blk/s   42.2 tx/s    3.0 Mgas/s      0+    4 Qed Ancient:#12753126 LI:#13371420   29/50 peers    356 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 11:03:45 UTC Syncing #13371415 0xf826…ca58     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#12753126 LI:#13371420   29/50 peers    356 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 11:04:05 UTC Syncing #13371417 0x9e9c…1012     0.10 blk/s   13.9 tx/s    1.2 Mgas/s      0+    4 Qed Ancient:#12753129 LI:#13371422   29/50 peers    357 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 11:04:10 UTC Syncing #13371417 0x9e9c…1012     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#12753129 LI:#13371422   30/50 peers    357 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 11:04:15 UTC Syncing #13371417 0x9e9c…1012     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#12753129 LI:#13371422   30/50 peers    357 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 11:04:20 UTC Syncing #13371417 0x9e9c…1012     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#12753129 LI:#13371422   29/50 peers    357 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 11:04:30 UTC Syncing #13371418 0xfb10…cc47     0.10 blk/s   29.6 tx/s    2.1 Mgas/s      0+    4 Qed Ancient:#12753131 LI:#13371423   29/50 peers    637 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 11:04:35 UTC Syncing #13371418 0xfb10…cc47     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#12753131 LI:#13371423   29/50 peers    637 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
