2021-10-05 22:57:57 UTC Syncing #13361794 0x92b7…f339     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   28 Qed Ancient:#12320184 LI:#13361823   30/50 peers      6 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 22:58:02 UTC Syncing #13361795 0xbb4a…302f     0.20 blk/s   52.2 tx/s    5.4 Mgas/s      0+   27 Qed Ancient:#12320185 LI:#13361823   30/50 peers      6 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 22:58:07 UTC Syncing #13361796 0xd10b…f906     0.20 blk/s   10.0 tx/s    0.8 Mgas/s      0+   27 Qed Ancient:#12320186 LI:#13361824   30/50 peers      6 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 22:58:12 UTC Syncing #13361796 0xd10b…f906     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   27 Qed Ancient:#12320186 LI:#13361824   30/50 peers      6 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 22:58:17 UTC Syncing #13361797 0x214d…ada8     0.20 blk/s   17.6 tx/s    1.1 Mgas/s      0+   26 Qed Ancient:#12320187 LI:#13361824   30/50 peers      6 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 22:58:22 UTC Syncing #13361797 0x214d…ada8     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   27 Qed Ancient:#12320187 LI:#13361825   30/50 peers      6 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 22:58:27 UTC Syncing #13361797 0x214d…ada8     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   27 Qed Ancient:#12320187 LI:#13361825   30/50 peers      7 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 22:58:32 UTC Syncing #13361797 0x214d…ada8     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   27 Qed Ancient:#12320187 LI:#13361825   30/50 peers      6 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 22:58:37 UTC Syncing #13361798 0x53dc…b9fa     0.20 blk/s   63.6 tx/s    5.2 Mgas/s      0+   26 Qed Ancient:#12320188 LI:#13361825   30/50 peers      7 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 22:58:42 UTC Syncing #13361800 0x0b9d…f8c0     0.40 blk/s   42.4 tx/s    2.8 Mgas/s      0+   24 Qed Ancient:#12320190 LI:#13361825   30/50 peers      7 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 22:58:47 UTC Syncing #13361800 0x0b9d…f8c0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   24 Qed Ancient:#12320190 LI:#13361825   30/50 peers      4 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 22:58:52 UTC Syncing #13361802 0x4fbf…ac0d     0.40 blk/s   52.6 tx/s    6.3 Mgas/s      0+   23 Qed Ancient:#12320193 LI:#13361826   30/50 peers      4 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 22:58:57 UTC Syncing #13361803 0x5372…71a1     0.20 blk/s   43.6 tx/s    3.5 Mgas/s      0+   23 Qed Ancient:#12320194 LI:#13361827   30/50 peers      4 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 22:59:02 UTC Syncing #13361804 0x7507…2e47     0.20 blk/s   25.2 tx/s    1.8 Mgas/s      0+   24 Qed Ancient:#12320195 LI:#13361829   30/50 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 22:59:07 UTC Syncing #13361805 0x857d…fd1c     0.20 blk/s   17.0 tx/s    1.7 Mgas/s      0+   24 Qed Ancient:#12320196 LI:#13361830   30/50 peers      4 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 22:59:12 UTC Syncing #13361806 0x6235…0e89     0.20 blk/s   76.2 tx/s    6.0 Mgas/s      0+   23 Qed Ancient:#12320197 LI:#13361830   30/50 peers      4 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 22:59:17 UTC Syncing #13361806 0x6235…0e89     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   23 Qed Ancient:#12320197 LI:#13361830   30/50 peers      4 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 22:59:22 UTC Syncing #13361808 0xa8c2…c166     0.40 blk/s   74.0 tx/s    7.2 Mgas/s      0+   21 Qed Ancient:#12320199 LI:#13361830   30/50 peers      4 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 22:59:27 UTC Syncing #13361809 0x7971…df87     0.20 blk/s   11.4 tx/s    0.8 Mgas/s      0+   20 Qed Ancient:#12320200 LI:#13361830   30/50 peers      4 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 22:59:32 UTC Syncing #13361810 0x3ca1…53cf     0.20 blk/s   47.2 tx/s    3.9 Mgas/s      0+   19 Qed Ancient:#12320201 LI:#13361830   30/50 peers      4 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
