2021-10-05 23:13:53 UTC Syncing #13361881 0x000d…35b3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#12323559 LI:#13361890   27/50 peers      4 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:13:58 UTC Syncing #13361881 0x000d…35b3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#12323559 LI:#13361891   27/50 peers      4 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:14:03 UTC Syncing #13361881 0x000d…35b3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#12323559 LI:#13361891   27/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:14:08 UTC Syncing #13361881 0x000d…35b3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#12323559 LI:#13361892   28/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:14:13 UTC Syncing #13361883 0x3338…889d     0.40 blk/s   47.6 tx/s    5.5 Mgas/s      0+    9 Qed Ancient:#12323561 LI:#13361892   28/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:14:18 UTC Syncing #13361883 0x3338…889d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#12323561 LI:#13361892   26/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:14:23 UTC Syncing #13361884 0x5c61…ac9b     0.20 blk/s    6.6 tx/s    0.5 Mgas/s      0+    8 Qed Ancient:#12323562 LI:#13361892   26/50 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:14:28 UTC Syncing #13361884 0x5c61…ac9b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12323562 LI:#13361892   26/50 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:14:33 UTC Syncing #13361884 0x5c61…ac9b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12323562 LI:#13361892   26/50 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:14:38 UTC Syncing #13361884 0x5c61…ac9b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#12323562 LI:#13361893   26/50 peers      7 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
