2021-10-05 23:17:28 UTC Syncing #13361893 0x74c5…3c74     0.20 blk/s   54.2 tx/s    4.5 Mgas/s      0+   12 Qed Ancient:#12323572 LI:#13361905   29/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:17:33 UTC Syncing #13361893 0x74c5…3c74     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#12323572 LI:#13361905   30/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:17:38 UTC Syncing #13361893 0x74c5…3c74     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#12323572 LI:#13361905   29/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:17:43 UTC Syncing #13361893 0x74c5…3c74     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#12323572 LI:#13361905   30/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:17:48 UTC Syncing #13361893 0x74c5…3c74     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#12323572 LI:#13361905   30/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:17:53 UTC Syncing #13361893 0x74c5…3c74     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#12323572 LI:#13361906   30/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:17:58 UTC Syncing #13361893 0x74c5…3c74     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#12323572 LI:#13361906   30/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:18:03 UTC Syncing #13361893 0x74c5…3c74     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#12323572 LI:#13361906   30/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:18:08 UTC Syncing #13361894 0xd7a1…8c30     0.20 blk/s   71.8 tx/s    6.0 Mgas/s      0+   12 Qed Ancient:#12323573 LI:#13361906   30/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:18:13 UTC Syncing #13361894 0xd7a1…8c30     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#12323573 LI:#13361907   30/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:18:18 UTC Syncing #13361894 0xd7a1…8c30     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#12323573 LI:#13361907   30/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:18:23 UTC Syncing #13361895 0xabd6…bb20     0.20 blk/s   36.6 tx/s    3.5 Mgas/s      0+   13 Qed Ancient:#12323575 LI:#13361908   30/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:18:28 UTC Syncing #13361896 0xd737…b6d8     0.20 blk/s   18.0 tx/s    0.9 Mgas/s      0+   13 Qed Ancient:#12323576 LI:#13361909   30/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:18:33 UTC Syncing #13361898 0xe157…0bb8     0.40 blk/s    7.8 tx/s    0.6 Mgas/s      0+   11 Qed Ancient:#12323578 LI:#13361909   30/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:18:38 UTC Syncing #13361898 0xe157…0bb8     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#12323578 LI:#13361909   30/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:18:43 UTC Syncing #13361898 0xe157…0bb8     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#12323578 LI:#13361910   30/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:18:48 UTC Syncing #13361899 0x0474…452f     0.20 blk/s   38.6 tx/s    3.1 Mgas/s      0+   11 Qed Ancient:#12323579 LI:#13361910   29/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:18:53 UTC Syncing #13361899 0x0474…452f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#12323579 LI:#13361910   30/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:18:58 UTC Syncing #13361899 0x0474…452f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#12323579 LI:#13361911   30/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:19:03 UTC Syncing #13361899 0x0474…452f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#12323579 LI:#13361911   30/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:19:08 UTC Syncing #13361900 0xba58…f285     0.20 blk/s   68.2 tx/s    4.3 Mgas/s      0+   11 Qed Ancient:#12323580 LI:#13361911   30/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:19:13 UTC Syncing #13361901 0xbff5…b42e     0.20 blk/s   17.0 tx/s    1.0 Mgas/s      0+   10 Qed Ancient:#12323581 LI:#13361911   30/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:19:18 UTC Syncing #13361901 0xbff5…b42e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#12323581 LI:#13361912   30/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:19:23 UTC Syncing #13361901 0xbff5…b42e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#12323581 LI:#13361913   30/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:19:28 UTC Syncing #13361901 0xbff5…b42e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#12323581 LI:#13361913   30/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:19:33 UTC Syncing #13361902 0xae5f…5ae8     0.20 blk/s   62.0 tx/s    4.8 Mgas/s      0+   11 Qed Ancient:#12323582 LI:#13361913   30/50 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:19:38 UTC Syncing #13361902 0xae5f…5ae8     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#12323582 LI:#13361913   30/50 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:19:43 UTC Syncing #13361903 0x029d…6246     0.20 blk/s   33.8 tx/s    3.2 Mgas/s      0+   10 Qed Ancient:#12323583 LI:#13361913   30/50 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:19:48 UTC Syncing #13361903 0x029d…6246     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#12323583 LI:#13361914   30/50 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:19:53 UTC Syncing #13361903 0x029d…6246     0.20 blk/s   46.4 tx/s    3.2 Mgas/s      0+   10 Qed Ancient:#12323584 LI:#13361914   30/50 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:19:58 UTC Syncing #13361904 0xfa15…002a     0.20 blk/s   17.2 tx/s    1.2 Mgas/s      0+   13 Qed Ancient:#12323585 LI:#13361917   30/50 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:20:03 UTC Syncing #13361904 0xfa15…002a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#12323585 LI:#13361917   30/50 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:20:08 UTC Syncing #13361904 0xfa15…002a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#12323585 LI:#13361917   30/50 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:20:13 UTC Syncing #13361904 0xfa15…002a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#12323585 LI:#13361918   30/50 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:20:18 UTC Syncing #13361904 0xfa15…002a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#12323585 LI:#13361919   30/50 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:20:23 UTC Syncing #13361905 0x0ead…af09     0.20 blk/s  134.0 tx/s    6.0 Mgas/s      0+   14 Qed Ancient:#12323586 LI:#13361919   30/50 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:20:28 UTC Syncing #13361905 0x0ead…af09     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#12323586 LI:#13361919   30/50 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
