2021-10-07 10:57:30 UTC Syncing #13371369 0x7bb4…a1b8     0.40 blk/s   49.8 tx/s    3.7 Mgas/s      0+   20 Qed Ancient:#12752301 LI:#13371390   32/50 peers      6 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 10:57:35 UTC Syncing #13371369 0x7bb4…a1b8     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#12752301 LI:#13371390   32/50 peers      6 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 10:57:40 UTC Syncing #13371369 0x7bb4…a1b8     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#12752301 LI:#13371390   32/50 peers      6 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 10:57:44 UTC Reorg to #13371370 0x6b04…afc3 (0x7bb4…a1b8 #13371368 0xb57b…5129 0xcd14…2b7b)
2021-10-07 10:57:45 UTC Syncing #13371370 0x6b04…afc3     0.20 blk/s   48.0 tx/s    4.3 Mgas/s      0+   19 Qed Ancient:#12752302 LI:#13371390   32/50 peers      6 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 10:57:52 UTC Syncing #13371371 0x7284…7071     0.20 blk/s    1.6 tx/s    0.2 Mgas/s      0+   18 Qed Ancient:#12752303 LI:#13371390   32/50 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 10:57:55 UTC Syncing #13371371 0x7284…7071     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#12752303 LI:#13371392   32/50 peers      6 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 10:58:00 UTC Syncing #13371371 0x7284…7071     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#12752303 LI:#13371392   32/50 peers      6 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 10:58:05 UTC Syncing #13371371 0x7284…7071     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#12752303 LI:#13371392   32/50 peers      6 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 10:58:10 UTC Syncing #13371371 0x7284…7071     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   21 Qed Ancient:#12752303 LI:#13371393   32/50 peers      6 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 10:58:15 UTC Syncing #13371371 0x7284…7071     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   22 Qed Ancient:#12752303 LI:#13371394   31/50 peers      6 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 10:58:20 UTC Syncing #13371371 0x7284…7071     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   24 Qed Ancient:#12752303 LI:#13371396   31/50 peers      6 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 10:58:25 UTC Syncing #13371372 0x07f2…de7a     0.20 blk/s   42.8 tx/s    4.7 Mgas/s      0+   23 Qed Ancient:#12752305 LI:#13371396   31/50 peers      6 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 10:58:30 UTC Syncing #13371372 0x07f2…de7a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   23 Qed Ancient:#12752305 LI:#13371396   32/50 peers      6 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
