2021-10-07 12:17:08 UTC Syncing #13371766 0xc746…d857     0.10 blk/s    3.6 tx/s    0.2 Mgas/s      0+    8 Qed Ancient:#12766436 LI:#13371775   30/50 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:17:08 UTC Syncing #13371766 0xc746…d857     0.20 blk/s    7.2 tx/s    0.5 Mgas/s      0+    8 Qed Ancient:#12766436 LI:#13371775   30/50 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:17:13 UTC Syncing #13371766 0xc746…d857     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#12766436 LI:#13371776   30/50 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:17:18 UTC Syncing #13371766 0xc746…d857     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#12766436 LI:#13371776   29/50 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:17:26 UTC Syncing #13371767 0xcc63…225c     0.20 blk/s   74.2 tx/s    5.5 Mgas/s      0+    8 Qed Ancient:#12766437 LI:#13371776   29/50 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:17:33 UTC Syncing #13371768 0xcf59…d11b     0.20 blk/s   15.6 tx/s    1.2 Mgas/s      0+    7 Qed Ancient:#12766438 LI:#13371777   29/50 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:17:33 UTC Syncing #13371768 0xcf59…d11b     0.10 blk/s    7.8 tx/s    0.6 Mgas/s      0+    7 Qed Ancient:#12766438 LI:#13371777   29/50 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:17:38 UTC Syncing #13371769 0xceb3…0e5c     0.20 blk/s   31.6 tx/s    2.4 Mgas/s      0+    7 Qed Ancient:#12766439 LI:#13371777   28/50 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:17:43 UTC Syncing #13371770 0x9a8d…8142     0.20 blk/s   38.0 tx/s    2.7 Mgas/s      0+    7 Qed Ancient:#12766440 LI:#13371779   27/50 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:17:48 UTC Syncing #13371770 0x9a8d…8142     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12766440 LI:#13371779   28/50 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:17:53 UTC Syncing #13371770 0x9a8d…8142     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#12766440 LI:#13371780   28/50 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:18:00 UTC Syncing #13371771 0x56f6…c541     0.20 blk/s   36.4 tx/s    3.4 Mgas/s      0+    8 Qed Ancient:#12766442 LI:#13371780   28/50 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:18:03 UTC Syncing #13371771 0x56f6…c541     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#12766442 LI:#13371781   28/50 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:18:08 UTC Syncing #13371771 0x56f6…c541     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#12766442 LI:#13371781   28/50 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
