2021-10-05 23:53:54 UTC Syncing #13362070 0xbfb5…46ba     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12330845 LI:#13362079   10/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:54:03 UTC Syncing #13362071 0x5bcb…44ce     0.21 blk/s    6.2 tx/s    0.3 Mgas/s      0+    7 Qed Ancient:#12330846 LI:#13362079   10/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:54:04 UTC Syncing #13362071 0x5bcb…44ce     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#12330846 LI:#13362079   10/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:54:35 UTC Syncing #13362071 0x5bcb…44ce     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12330846 LI:#13362080    9/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:54:35 UTC Syncing #13362072 0xb806…7e5c     0.08 blk/s   22.8 tx/s    2.1 Mgas/s      0+    8 Qed Ancient:#12330986 LI:#13362080    9/25 peers      7 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:54:46 UTC Syncing #13362072 0xb806…7e5c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12331107 LI:#13362080    7/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:54:57 UTC Syncing #13362072 0xb806…7e5c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#12331349 LI:#13362081    7/25 peers      4 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:55:00 UTC Syncing #13362072 0xb806…7e5c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12331535 LI:#13362081    9/25 peers      4 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:55:11 UTC Syncing #13362072 0xb806…7e5c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12331535 LI:#13362081   10/25 peers      4 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:55:11 UTC Syncing #13362072 0xb806…7e5c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12331535 LI:#13362081   10/25 peers      4 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:55:14 UTC Syncing #13362072 0xb806…7e5c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12331535 LI:#13362081    9/25 peers      4 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:55:19 UTC Syncing #13362072 0xb806…7e5c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12331535 LI:#13362081   12/25 peers      4 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:55:24 UTC Syncing #13362072 0xb806…7e5c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#12331535 LI:#13362082   12/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:55:34 UTC Syncing #13362072 0xb806…7e5c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#12331535 LI:#13362082   12/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:55:34 UTC Syncing #13362072 0xb806…7e5c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#12331535 LI:#13362082   12/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:55:42 UTC Syncing #13362072 0xb806…7e5c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#12331535 LI:#13362082   14/25 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:55:44 UTC Syncing #13362072 0xb806…7e5c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#12331535 LI:#13362083   13/25 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
