2021-10-06 08:39:17 UTC Syncing #13364374 0x35eb…17b8     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#12443942 LI:#13364387   10/25 peers      1 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:39:22 UTC Syncing #13364374 0x35eb…17b8     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#12443942 LI:#13364387   12/25 peers      1 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:39:27 UTC Syncing #13364374 0x35eb…17b8     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#12443942 LI:#13364387   12/25 peers      1 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:39:32 UTC Syncing #13364375 0x3e08…2e3a     0.20 blk/s   93.0 tx/s    6.0 Mgas/s      0+   11 Qed Ancient:#12443945 LI:#13364387   12/25 peers      1 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:39:37 UTC Syncing #13364375 0x3e08…2e3a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#12443945 LI:#13364387   12/25 peers      1 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:39:42 UTC Syncing #13364375 0x3e08…2e3a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#12443945 LI:#13364387   10/25 peers      1 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:39:47 UTC Syncing #13364375 0x3e08…2e3a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#12443945 LI:#13364387   10/25 peers      1 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:39:56 UTC Syncing #13364376 0x009b…047a     0.20 blk/s   68.4 tx/s    5.1 Mgas/s      0+   10 Qed Ancient:#12443946 LI:#13364387    6/25 peers      1 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:40:01 UTC Syncing #13364377 0xf39d…5631     0.20 blk/s   14.4 tx/s    1.2 Mgas/s      0+   10 Qed Ancient:#12443947 LI:#13364388    6/25 peers      1 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:40:06 UTC Syncing #13364378 0xdc67…109b     0.20 blk/s   10.8 tx/s    0.9 Mgas/s      0+    9 Qed Ancient:#12443948 LI:#13364388    6/25 peers      1 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:40:08 UTC Syncing #13364378 0xdc67…109b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#12443948 LI:#13364388    6/25 peers      1 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
