2021-10-07 13:38:05 UTC Syncing #13372093 0x9e10…1917     0.07 blk/s   32.1 tx/s    2.0 Mgas/s      0+   17 Qed Ancient:#12781887 LI:#13372110   13/25 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 13:38:05 UTC Syncing #13372093 0x9e10…1917     0.20 blk/s   96.2 tx/s    6.0 Mgas/s      0+   17 Qed Ancient:#12781887 LI:#13372110   13/25 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 13:38:05 UTC Syncing #13372093 0x9e10…1917     0.10 blk/s   48.1 tx/s    3.0 Mgas/s      0+   17 Qed Ancient:#12781887 LI:#13372110   13/25 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 13:38:08 UTC Syncing #13372093 0x9e10…1917     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#12781887 LI:#13372110   13/25 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 13:38:19 UTC Syncing #13372094 0x380a…bc2e     0.10 blk/s   43.5 tx/s    3.0 Mgas/s      0+   16 Qed Ancient:#12781888 LI:#13372110   13/25 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 13:38:19 UTC Syncing #13372094 0x380a…bc2e     0.20 blk/s   87.0 tx/s    6.0 Mgas/s      0+   16 Qed Ancient:#12781888 LI:#13372110   13/25 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 13:38:23 UTC Syncing #13372094 0x380a…bc2e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#12781888 LI:#13372112   13/25 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 13:38:40 UTC Syncing #13372097 0x0f69…b769     0.20 blk/s   27.1 tx/s    1.9 Mgas/s      0+   15 Qed Ancient:#12781892 LI:#13372112   15/25 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 13:38:40 UTC Syncing #13372095 0x24c0…a3d5     0.20 blk/s   53.2 tx/s    3.8 Mgas/s      0+   17 Qed Ancient:#12781890 LI:#13372112   15/25 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 13:38:40 UTC Syncing #13372097 0x0f69…b769     0.30 blk/s   40.6 tx/s    2.8 Mgas/s      0+   15 Qed Ancient:#12781892 LI:#13372112   15/25 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 13:38:51 UTC Syncing #13372098 0x1a59…4706     0.10 blk/s   24.8 tx/s    1.8 Mgas/s      0+   15 Qed Ancient:#12781893 LI:#13372113   15/25 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 13:38:51 UTC Syncing #13372097 0x0f69…b769     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#12781892 LI:#13372113   15/25 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 13:39:00 UTC Syncing #13372098 0x1a59…4706     0.10 blk/s   24.8 tx/s    1.8 Mgas/s      0+   17 Qed Ancient:#12781893 LI:#13372115   15/25 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 13:39:00 UTC Syncing #13372098 0x1a59…4706     0.20 blk/s   49.6 tx/s    3.6 Mgas/s      0+   17 Qed Ancient:#12781893 LI:#13372115   15/25 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 13:39:07 UTC Syncing #13372099 0xb676…f6cc     0.20 blk/s   75.2 tx/s    5.6 Mgas/s      0+   17 Qed Ancient:#12781894 LI:#13372116   15/25 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 13:39:15 UTC Syncing #13372100 0x2e82…2544     0.20 blk/s    8.2 tx/s    0.6 Mgas/s      0+   16 Qed Ancient:#12781895 LI:#13372116   15/25 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 13:39:15 UTC Syncing #13372100 0x2e82…2544     0.20 blk/s   42.0 tx/s    3.1 Mgas/s      0+   15 Qed Ancient:#12781896 LI:#13372116   15/25 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 13:39:19 UTC Syncing #13372100 0x2e82…2544     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#12781896 LI:#13372116   15/25 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 13:39:24 UTC Syncing #13372100 0x2e82…2544     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#12781896 LI:#13372117   15/25 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 13:39:38 UTC Syncing #13372103 0x3d0c…9611     0.30 blk/s   47.8 tx/s    3.7 Mgas/s      0+   13 Qed Ancient:#12781899 LI:#13372117   14/25 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 13:39:38 UTC Syncing #13372102 0xa799…0aca     0.40 blk/s   67.4 tx/s    5.1 Mgas/s      0+   14 Qed Ancient:#12781898 LI:#13372117   14/25 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 13:39:48 UTC Syncing #13372103 0x3d0c…9611     0.10 blk/s   14.1 tx/s    1.1 Mgas/s      0+   15 Qed Ancient:#12781899 LI:#13372119   14/25 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 13:39:48 UTC Syncing #13372103 0x3d0c…9611     0.20 blk/s   28.2 tx/s    2.2 Mgas/s      0+   15 Qed Ancient:#12781899 LI:#13372119   14/25 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 13:39:49 UTC Syncing #13372103 0x3d0c…9611     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#12781899 LI:#13372119   14/25 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
