2021-10-06 03:44:40 UTC Syncing #13363054 0x85d5…4686     0.20 blk/s   72.2 tx/s    5.7 Mgas/s      0+   51 Qed Ancient:#12378942 LI:#13363104   11/25 peers      6 MiB chain   13 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:44:50 UTC Syncing #13363054 0x85d5…4686     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   51 Qed Ancient:#12378942 LI:#13363104   12/25 peers      6 MiB chain   13 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:44:50 UTC Syncing #13363054 0x85d5…4686     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   51 Qed Ancient:#12378942 LI:#13363104   12/25 peers      6 MiB chain   13 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:44:59 UTC Syncing #13363055 0xdb9d…f362     0.20 blk/s   36.6 tx/s    2.9 Mgas/s      0+   51 Qed Ancient:#12378943 LI:#13363105   11/25 peers      6 MiB chain   13 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:45:01 UTC Syncing #13363055 0xdb9d…f362     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   51 Qed Ancient:#12378943 LI:#13363105    9/25 peers      6 MiB chain   13 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:45:07 UTC Syncing #13363056 0x9084…bfe7     0.20 blk/s   21.0 tx/s    1.8 Mgas/s      0+   50 Qed Ancient:#12378944 LI:#13363109    8/25 peers      6 MiB chain   13 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:45:10 UTC Syncing #13363056 0x9084…bfe7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   55 Qed Ancient:#12378944 LI:#13363110    6/25 peers      6 MiB chain   14 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:45:15 UTC Syncing #13363056 0x9084…bfe7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   57 Qed Ancient:#12378944 LI:#13363112    9/25 peers      6 MiB chain   14 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:45:21 UTC Syncing #13363057 0x4bc1…37b2     0.20 blk/s   39.0 tx/s    2.7 Mgas/s      0+   56 Qed Ancient:#12378946 LI:#13363112   11/25 peers      5 MiB chain   14 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:45:27 UTC Syncing #13363057 0x4bc1…37b2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   56 Qed Ancient:#12378946 LI:#13363112   11/25 peers      5 MiB chain   14 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:45:33 UTC Syncing #13363058 0x1547…d334     0.20 blk/s   21.4 tx/s    2.1 Mgas/s      0+   55 Qed Ancient:#12378947 LI:#13363112   10/25 peers      4 MiB chain   14 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:45:35 UTC Syncing #13363058 0x1547…d334     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   55 Qed Ancient:#12378947 LI:#13363112    9/25 peers      4 MiB chain   14 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:45:40 UTC Syncing #13363058 0x1547…d334     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   55 Qed Ancient:#12378947 LI:#13363112   14/25 peers      4 MiB chain   14 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:45:48 UTC Syncing #13363060 0xbb67…bacd     0.40 blk/s   48.0 tx/s    4.6 Mgas/s      0+   53 Qed Ancient:#12378949 LI:#13363112   14/25 peers      4 MiB chain   13 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:45:55 UTC Syncing #13363060 0xbb67…bacd     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   53 Qed Ancient:#12378949 LI:#13363112   14/25 peers      4 MiB chain   13 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:45:55 UTC Syncing #13363060 0xbb67…bacd     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   53 Qed Ancient:#12378949 LI:#13363112   14/25 peers      4 MiB chain   13 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:46:00 UTC Syncing #13363060 0xbb67…bacd     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   53 Qed Ancient:#12378949 LI:#13363112   14/25 peers      4 MiB chain   13 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:46:05 UTC Syncing #13363060 0xbb67…bacd     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   54 Qed Ancient:#12378949 LI:#13363113   15/25 peers      5 MiB chain   14 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:46:11 UTC Syncing #13363060 0xbb67…bacd     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   54 Qed Ancient:#12378949 LI:#13363113   15/25 peers      8 MiB chain   14 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:46:21 UTC Syncing #13363061 0xd17f…9097     0.20 blk/s   63.2 tx/s    4.4 Mgas/s      0+   53 Qed Ancient:#12378950 LI:#13363113   15/25 peers    909 KiB chain   13 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:46:21 UTC Syncing #13363061 0xd17f…9097     0.10 blk/s   31.6 tx/s    2.2 Mgas/s      0+   53 Qed Ancient:#12378950 LI:#13363113   15/25 peers    909 KiB chain   13 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:46:26 UTC Syncing #13363061 0xd17f…9097     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   54 Qed Ancient:#12378950 LI:#13363114   16/25 peers    909 KiB chain   14 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:46:30 UTC Syncing #13363061 0xd17f…9097     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   57 Qed Ancient:#12378950 LI:#13363117   15/25 peers    909 KiB chain   15 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:46:36 UTC Syncing #13363062 0x8c39…2564     0.20 blk/s   31.8 tx/s    4.4 Mgas/s      0+   56 Qed Ancient:#12378951 LI:#13363117   16/25 peers    909 KiB chain   14 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:46:40 UTC Syncing #13363062 0x8c39…2564     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   56 Qed Ancient:#12378951 LI:#13363117   16/25 peers    909 KiB chain   14 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:46:47 UTC Syncing #13363062 0x8c39…2564     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   56 Qed Ancient:#12378951 LI:#13363117   16/25 peers    909 KiB chain   14 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:46:50 UTC Syncing #13363063 0x6c16…8622     0.20 blk/s   38.8 tx/s    2.8 Mgas/s      0+   55 Qed Ancient:#12378952 LI:#13363117   16/25 peers    979 KiB chain   14 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:47:00 UTC Syncing #13363064 0x2b07…893d     0.20 blk/s   24.2 tx/s    2.0 Mgas/s      0+   55 Qed Ancient:#12378953 LI:#13363118   16/25 peers    980 KiB chain   14 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:47:00 UTC Syncing #13363064 0x2b07…893d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   58 Qed Ancient:#12378953 LI:#13363121   15/25 peers    980 KiB chain   15 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:47:17 UTC Syncing #13363068 0x54f6…400b     0.26 blk/s   36.8 tx/s    3.5 Mgas/s      0+   58 Qed Ancient:#12379094 LI:#13363124   12/25 peers      5 MiB chain   15 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:47:17 UTC Syncing #13363067 0xc5ae…aaad     0.23 blk/s   30.3 tx/s    2.3 Mgas/s      0+   58 Qed Ancient:#12378956 LI:#13363124   12/25 peers      1 MiB chain   15 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:47:21 UTC Syncing #13363070 0x5266…f2e0     0.67 blk/s   56.8 tx/s    6.6 Mgas/s      0+   55 Qed Ancient:#12379096 LI:#13363124   12/25 peers      5 MiB chain   14 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:47:26 UTC Syncing #13363070 0x5266…f2e0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   55 Qed Ancient:#12379096 LI:#13363124   12/25 peers      5 MiB chain   14 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:47:31 UTC Syncing #13363071 0x483f…1a62     0.20 blk/s   81.6 tx/s    6.0 Mgas/s      0+   55 Qed Ancient:#12379097 LI:#13363125   12/25 peers      5 MiB chain   14 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:47:36 UTC Syncing #13363071 0x483f…1a62     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   56 Qed Ancient:#12379097 LI:#13363126   11/25 peers      5 MiB chain   14 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
