2021-10-07 21:37:22 UTC Syncing #13374226 0xd0c9…cb28     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#12891823 LI:#13374231    2/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 21:37:30 UTC Syncing #13374227 0xdac6…7884     0.20 blk/s   24.8 tx/s    1.5 Mgas/s      0+    4 Qed Ancient:#12891824 LI:#13374231    1/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 21:37:32 UTC Syncing #13374227 0xdac6…7884     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#12891824 LI:#13374231    1/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 21:37:37 UTC Syncing #13374227 0xdac6…7884     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#12891824 LI:#13374231    1/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 21:37:42 UTC Syncing #13374227 0xdac6…7884     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#12891824 LI:#13374231    2/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 21:37:47 UTC Syncing #13374227 0xdac6…7884     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#12891824 LI:#13374231    2/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 21:37:52 UTC Syncing #13374227 0xdac6…7884     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#12891824 LI:#13374231    1/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 21:37:56 UTC Could not revert to previous block, last: 13374231 (0x742a…15de)
2021-10-07 21:37:57 UTC Syncing #13374227 0xdac6…7884     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#12891824 LI:#13374227    0/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 21:38:07 UTC Syncing #13374228 0xdd0e…f188     0.10 blk/s   49.8 tx/s    3.0 Mgas/s      0+    3 Qed Ancient:#12891825 LI:#13374227    1/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 21:38:12 UTC Syncing #13374228 0xdd0e…f188     0.20 blk/s   96.8 tx/s    6.0 Mgas/s      0+    2 Qed Ancient:#12891826 LI:#13374227    1/25 peers      5 MiB chain  450 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 21:38:17 UTC Syncing #13374228 0xdd0e…f188     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    2 Qed Ancient:#12891826 LI:#13374227    1/25 peers      5 MiB chain  450 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 21:38:36 UTC Reorg to #13374229 0xcfc3…e5cf (0xdd0e…f188 #13374227 0xdac6…7884 0xcb6a…034d)
2021-10-07 21:38:46 UTC  Ancient:#12891828 AB:#12893577    1/25 peers      5 MiB chain   78 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
