2021-10-06 03:50:21 UTC Syncing #13363102 0x5640…a584     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   29 Qed Ancient:#12379131 LI:#13363132   11/25 peers      4 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:50:28 UTC Syncing #13363104 0x8879…d045     0.40 blk/s   59.0 tx/s    4.7 Mgas/s      0+   27 Qed Ancient:#12379133 LI:#13363132   12/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:50:32 UTC Syncing #13363105 0x9393…4115     0.20 blk/s   49.8 tx/s    5.1 Mgas/s      0+   26 Qed Ancient:#12379134 LI:#13363132   12/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:50:37 UTC Syncing #13363107 0x45f6…1fd5     0.40 blk/s   39.6 tx/s    5.2 Mgas/s      0+   24 Qed Ancient:#12379136 LI:#13363132   12/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:50:42 UTC Syncing #13363109 0x81ff…434b     0.40 blk/s   30.8 tx/s    2.2 Mgas/s      0+   23 Qed Ancient:#12379138 LI:#13363133   12/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:50:48 UTC Syncing #13363109 0x81ff…434b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   24 Qed Ancient:#12379138 LI:#13363134   12/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:50:53 UTC Syncing #13363110 0xa651…b266     0.20 blk/s   57.2 tx/s    6.0 Mgas/s      0+   24 Qed Ancient:#12379140 LI:#13363135   12/25 peers      4 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:50:57 UTC Syncing #13363112 0x1926…fc12     0.40 blk/s   44.6 tx/s    3.3 Mgas/s      0+   22 Qed Ancient:#12379142 LI:#13363135   12/25 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:51:02 UTC Syncing #13363112 0x1926…fc12     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   22 Qed Ancient:#12379142 LI:#13363135   12/25 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:51:05 UTC Syncing #13363113 0x8b49…04d3     0.20 blk/s   91.6 tx/s    5.9 Mgas/s      0+   21 Qed Ancient:#12379143 LI:#13363135   12/25 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:51:11 UTC Syncing #13363113 0x8b49…04d3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   21 Qed Ancient:#12379143 LI:#13363135   12/25 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:51:15 UTC Syncing #13363113 0x8b49…04d3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   21 Qed Ancient:#12379143 LI:#13363135   12/25 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:51:20 UTC Syncing #13363114 0x1324…e039     0.20 blk/s   46.0 tx/s    6.0 Mgas/s      0+   21 Qed Ancient:#12379144 LI:#13363136   12/25 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:51:25 UTC Syncing #13363114 0x1324…e039     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   21 Qed Ancient:#12379144 LI:#13363136   12/25 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:51:32 UTC Syncing #13363116 0xca37…c8d7     0.40 blk/s   78.0 tx/s    6.3 Mgas/s      0+   19 Qed Ancient:#12379146 LI:#13363136   11/25 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:51:38 UTC Syncing #13363117 0x0a70…6662     0.20 blk/s   19.8 tx/s    2.4 Mgas/s      0+   18 Qed Ancient:#12379147 LI:#13363136   11/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:51:42 UTC Syncing #13363117 0x0a70…6662     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#12379147 LI:#13363136   11/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:51:48 UTC Syncing #13363119 0xe7fc…c440     0.40 blk/s   77.2 tx/s    7.5 Mgas/s      0+   16 Qed Ancient:#12379149 LI:#13363136   11/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:51:56 UTC Syncing #13363122 0x4a83…8760     0.30 blk/s   16.9 tx/s    1.7 Mgas/s      0+   13 Qed Ancient:#12379152 LI:#13363136   11/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:51:56 UTC Syncing #13363122 0x4a83…8760     0.60 blk/s   33.8 tx/s    3.3 Mgas/s      0+   13 Qed Ancient:#12379152 LI:#13363136   11/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:52:01 UTC Syncing #13363123 0xed4c…6344     0.20 blk/s   34.4 tx/s    3.0 Mgas/s      0+   12 Qed Ancient:#12379153 LI:#13363136   11/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:52:05 UTC Syncing #13363124 0xca59…13bf     0.20 blk/s   28.0 tx/s    3.0 Mgas/s      0+   11 Qed Ancient:#12379154 LI:#13363136   11/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:52:11 UTC Syncing #13363124 0xca59…13bf     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#12379154 LI:#13363136   10/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:52:19 UTC Syncing #13363125 0xbee9…9d60     0.20 blk/s   72.2 tx/s    5.9 Mgas/s      0+   12 Qed Ancient:#12379155 LI:#13363138   10/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:52:25 UTC Syncing #13363126 0xa5d4…3915     0.20 blk/s   28.4 tx/s    1.6 Mgas/s      0+   11 Qed Ancient:#12379156 LI:#13363138   10/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:52:25 UTC Syncing #13363126 0xa5d4…3915     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#12379156 LI:#13363138   10/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:52:30 UTC Syncing #13363127 0x6d75…73fa     0.20 blk/s   64.0 tx/s    5.9 Mgas/s      0+   10 Qed Ancient:#12379157 LI:#13363138   10/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:52:35 UTC Syncing #13363127 0x6d75…73fa     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#12379157 LI:#13363140   10/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:52:40 UTC Syncing #13363127 0x6d75…73fa     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#12379157 LI:#13363140    8/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
