2021-10-06 03:31:09 UTC Syncing #13363023 0x019b…b53d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#12375583 LI:#13363034   27/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:31:19 UTC Syncing #13363024 0x7992…74c1     0.15 blk/s    6.5 tx/s    0.5 Mgas/s      0+   11 Qed Ancient:#12375585 LI:#13363035   25/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:31:19 UTC Syncing #13363023 0x019b…b53d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#12375584 LI:#13363035   26/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:31:26 UTC Syncing #13363024 0x7992…74c1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#12375585 LI:#13363035   25/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:31:26 UTC Syncing #13363024 0x7992…74c1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#12375585 LI:#13363035   25/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:31:33 UTC Syncing #13363024 0x7992…74c1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#12375585 LI:#13363037   24/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:31:36 UTC Syncing #13363024 0x7992…74c1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#12375585 LI:#13363037   24/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:31:40 UTC Syncing #13363024 0x7992…74c1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#12375585 LI:#13363037   24/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:31:50 UTC Syncing #13363026 0x6909…2de3     0.40 blk/s   52.0 tx/s    4.4 Mgas/s      0+   11 Qed Ancient:#12375587 LI:#13363037   21/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:31:50 UTC Syncing #13363026 0x6909…2de3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#12375587 LI:#13363039   21/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:31:56 UTC Syncing #13363026 0x6909…2de3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#12375587 LI:#13363039   21/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:32:01 UTC Syncing #13363026 0x6909…2de3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#12375587 LI:#13363039   21/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:32:07 UTC Syncing #13363027 0xd133…f26f     0.20 blk/s   21.4 tx/s    2.2 Mgas/s      0+   12 Qed Ancient:#12375588 LI:#13363039   19/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:32:11 UTC Syncing #13363027 0xd133…f26f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#12375588 LI:#13363040   16/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:32:16 UTC Syncing #13363027 0xd133…f26f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#12375588 LI:#13363040   17/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:32:23 UTC Syncing #13363028 0x6c97…aa59     0.20 blk/s   52.4 tx/s    3.4 Mgas/s      0+   13 Qed Ancient:#12375589 LI:#13363040   17/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:32:25 UTC Syncing #13363028 0x6c97…aa59     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#12375589 LI:#13363040   20/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:32:30 UTC Syncing #13363028 0x6c97…aa59     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#12375589 LI:#13363040   22/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 03:32:35 UTC Syncing #13363028 0x6c97…aa59     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#12375589 LI:#13363040   22/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
