2021-10-06 05:02:07 UTC Syncing #13363444 0x1b0a…ec77     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   22 Qed Ancient:#12393858 LI:#13363464    9/25 peers      4 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:02:16 UTC Syncing #13363446 0x61c2…f7f5     0.40 blk/s   39.0 tx/s   12.0 Mgas/s      0+   20 Qed Ancient:#12393860 LI:#13363464    9/25 peers      4 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:02:16 UTC Syncing #13363447 0xf029…12d7     0.20 blk/s   18.6 tx/s    6.0 Mgas/s      0+   20 Qed Ancient:#12393861 LI:#13363465    8/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:02:21 UTC Syncing #13363448 0x940e…a50f     0.20 blk/s   16.2 tx/s    6.0 Mgas/s      0+   19 Qed Ancient:#12393862 LI:#13363465    8/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:02:31 UTC Syncing #13363450 0xb7e9…148e     0.40 blk/s   37.2 tx/s   12.0 Mgas/s      0+   20 Qed Ancient:#12393864 LI:#13363468    4/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:02:35 UTC Syncing #13363452 0xee0e…4da9     0.60 blk/s   45.4 tx/s   18.0 Mgas/s      0+   18 Qed Ancient:#12393867 LI:#13363469    4/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:02:39 UTC Syncing #13363455 0xe431…b645     0.80 blk/s   55.4 tx/s   24.0 Mgas/s      0+   15 Qed Ancient:#12393871 LI:#13363470    4/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:02:44 UTC Syncing #13363458 0xe343…6bac     0.60 blk/s   45.2 tx/s   18.0 Mgas/s      0+   12 Qed Ancient:#12393874 LI:#13363470    4/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:02:47 UTC Syncing #13363460 0x66c7…6b11     0.60 blk/s   44.8 tx/s   18.0 Mgas/s      0+    9 Qed Ancient:#12393878 LI:#13363470    4/25 peers      6 MiB chain  988 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:02:52 UTC Syncing #13363462 0x798a…8f5b     0.40 blk/s   17.6 tx/s    6.0 Mgas/s      0+    7 Qed Ancient:#12393880 LI:#13363470    4/25 peers      6 MiB chain  720 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:02:59 UTC Syncing #13363464 0xb712…7459     0.40 blk/s   23.8 tx/s    7.1 Mgas/s      0+    5 Qed Ancient:#12393882 LI:#13363470    4/25 peers      6 MiB chain  518 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:03:24 UTC Imported #13363470 0xad8a…42d1 (4 txs, 1.96 Mgas, 30 ms, 7.32 KiB)
2021-10-06 05:03:44 UTC  Ancient:#12394322 AB:#12394494    4/25 peers    638 KiB chain  507 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:03:44 UTC  Ancient:#12394300 AB:#12394494    4/25 peers    109 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:03:44 UTC  Ancient:#12394322 AB:#12394494    4/25 peers    638 KiB chain  506 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 05:03:56 UTC Imported #13363475 0xe94f…19ce (36 txs, 7.08 Mgas, 5849 ms, 24.37 KiB)
2021-10-06 05:04:12 UTC  Ancient:#12394670 AB:#12394670    4/25 peers      2 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
