2021-10-08 00:20:09 UTC Syncing #13374939 0x34e9…6f39     0.20 blk/s   15.6 tx/s    1.6 Mgas/s      0+   16 Qed Ancient:#12922575 LI:#13374955    3/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 00:20:11 UTC Syncing #13374939 0x34e9…6f39     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#12922575 LI:#13374957    3/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 00:20:21 UTC Syncing #13374940 0x47f4…8db7     0.20 blk/s   73.4 tx/s    6.0 Mgas/s      0+   19 Qed Ancient:#12922576 LI:#13374958    3/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 00:20:21 UTC Syncing #13374940 0x47f4…8db7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#12922576 LI:#13374959    3/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 00:20:32 UTC Syncing #13374941 0x1b19…cc14     0.20 blk/s   82.0 tx/s    6.0 Mgas/s      0+   19 Qed Ancient:#12922577 LI:#13374959    3/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 00:20:32 UTC Syncing #13374941 0x1b19…cc14     0.10 blk/s   41.0 tx/s    3.0 Mgas/s      0+   19 Qed Ancient:#12922577 LI:#13374959    3/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 00:20:40 UTC Syncing #13374942 0x2b2d…4d32     0.20 blk/s   77.0 tx/s    5.9 Mgas/s      0+   18 Qed Ancient:#12922578 LI:#13374959    3/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 00:20:41 UTC Syncing #13374942 0x2b2d…4d32     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#12922578 LI:#13374961    3/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 00:20:50 UTC Syncing #13374943 0x9413…6ead     0.20 blk/s   67.2 tx/s    5.9 Mgas/s      0+   19 Qed Ancient:#12922579 LI:#13374961    3/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 00:21:03 UTC Syncing #13374947 0xca2e…50f3     0.40 blk/s  103.6 tx/s    5.6 Mgas/s      0+   16 Qed Ancient:#12922583 LI:#13374962    3/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 00:21:03 UTC Syncing #13374947 0xca2e…50f3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#12922583 LI:#13374962    3/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 00:21:03 UTC Syncing #13374944 0x4f58…ef4b     0.20 blk/s  146.4 tx/s    5.9 Mgas/s      0+   19 Qed Ancient:#12922580 LI:#13374962    3/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 00:21:08 UTC Syncing #13374947 0xca2e…50f3     0.60 blk/s   60.8 tx/s    5.2 Mgas/s      0+   17 Qed Ancient:#12922583 LI:#13374963    3/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 00:21:15 UTC Syncing #13374948 0x97b7…984a     0.20 blk/s   65.4 tx/s    5.1 Mgas/s      0+   17 Qed Ancient:#12922584 LI:#13374964    3/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 00:21:19 UTC Syncing #13374950 0xe0b3…6d46     0.40 blk/s   47.8 tx/s    3.8 Mgas/s      0+   16 Qed Ancient:#12922587 LI:#13374965    3/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 00:21:19 UTC Reorg to #13374952 0xa04f…1a0e (0x9554…226a #13374950 0xe0b3…6d46 0xe22c…5fc3)
2021-10-08 00:21:25 UTC Syncing #13374952 0xa04f…1a0e     0.60 blk/s   74.4 tx/s    5.0 Mgas/s      0+   13 Qed Ancient:#12922590 LI:#13374965    3/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
