2021-10-06 04:42:36 UTC  Ancient:#12388643 AB:#12390984   36/50 peers    215 KiB chain  283 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:43:01 UTC Syncing #13363364 0xe7f7…45f8     0.08 blk/s   21.6 tx/s    1.8 Mgas/s      0+    4 Qed Ancient:#12388646 LI:#13363369   32/50 peers    356 KiB chain  459 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:43:06 UTC Syncing #13363364 0xe7f7…45f8     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#12388646 LI:#13363369   33/50 peers    356 KiB chain  459 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:43:11 UTC Syncing #13363364 0xe7f7…45f8     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#12388646 LI:#13363369   32/50 peers    356 KiB chain  459 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:43:16 UTC Syncing #13363364 0xe7f7…45f8     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#12388646 LI:#13363371   33/50 peers    356 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:43:21 UTC Syncing #13363365 0x4934…a072     0.20 blk/s   32.0 tx/s    2.4 Mgas/s      0+    6 Qed Ancient:#12388647 LI:#13363372   33/50 peers    356 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:43:27 UTC Syncing #13363365 0x4934…a072     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#12388647 LI:#13363373   32/50 peers    356 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:43:31 UTC Syncing #13363365 0x4934…a072     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#12388647 LI:#13363374   31/50 peers    356 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:43:36 UTC Syncing #13363366 0x3551…ad24     0.20 blk/s   24.4 tx/s    2.0 Mgas/s      0+    7 Qed Ancient:#12388648 LI:#13363374   30/50 peers    636 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:43:41 UTC Syncing #13363366 0x3551…ad24     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#12388648 LI:#13363376   30/50 peers    636 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:43:46 UTC Syncing #13363367 0x88a5…5ce8     0.20 blk/s   12.6 tx/s    0.9 Mgas/s      0+    8 Qed Ancient:#12388649 LI:#13363376   30/50 peers    636 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:43:51 UTC Syncing #13363367 0x88a5…5ce8     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12388649 LI:#13363376   30/50 peers    636 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:43:56 UTC Syncing #13363369 0x883f…ecbd     0.40 blk/s   29.2 tx/s    2.1 Mgas/s      0+    7 Qed Ancient:#12388651 LI:#13363377   30/50 peers    637 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:44:01 UTC Syncing #13363369 0x883f…ecbd     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#12388651 LI:#13363377   28/50 peers    637 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:44:06 UTC Syncing #13363369 0x883f…ecbd     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#12388651 LI:#13363377   28/50 peers    637 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:44:11 UTC Syncing #13363369 0x883f…ecbd     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#12388651 LI:#13363377   28/50 peers    637 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:44:16 UTC Syncing #13363369 0x883f…ecbd     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12388651 LI:#13363378   30/50 peers    637 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
