2021-10-06 01:19:27 UTC Syncing #13362383 0xc489…cebd     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   31 Qed Ancient:#12349235 LI:#13362414   31/50 peers      5 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:19:32 UTC Syncing #13362383 0xc489…cebd     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   31 Qed Ancient:#12349235 LI:#13362414   32/50 peers      6 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:19:37 UTC Syncing #13362383 0xc489…cebd     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   31 Qed Ancient:#12349235 LI:#13362414   31/50 peers      6 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:19:42 UTC Syncing #13362383 0xc489…cebd     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   31 Qed Ancient:#12349235 LI:#13362414   32/50 peers      6 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:19:47 UTC Syncing #13362384 0xc9a8…8581     0.20 blk/s   50.8 tx/s    6.0 Mgas/s      0+   30 Qed Ancient:#12349237 LI:#13362414   34/50 peers      6 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:19:52 UTC Syncing #13362384 0xc9a8…8581     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   30 Qed Ancient:#12349237 LI:#13362414   35/50 peers      3 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:19:57 UTC Syncing #13362384 0xc9a8…8581     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   30 Qed Ancient:#12349237 LI:#13362414   36/50 peers      3 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:20:02 UTC Syncing #13362384 0xc9a8…8581     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   30 Qed Ancient:#12349237 LI:#13362414   36/50 peers      3 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:20:07 UTC Syncing #13362386 0x259e…faea     0.40 blk/s   75.0 tx/s    6.8 Mgas/s      0+   28 Qed Ancient:#12349240 LI:#13362414   36/50 peers      3 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:20:12 UTC Syncing #13362386 0x259e…faea     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   28 Qed Ancient:#12349240 LI:#13362414   36/50 peers      3 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:20:17 UTC Syncing #13362386 0x259e…faea     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   28 Qed Ancient:#12349240 LI:#13362414   37/50 peers      3 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:20:22 UTC Syncing #13362386 0x259e…faea     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   28 Qed Ancient:#12349240 LI:#13362414   36/50 peers      3 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:20:27 UTC Syncing #13362387 0xaa14…54cf     0.20 blk/s   48.4 tx/s    5.9 Mgas/s      0+   28 Qed Ancient:#12349241 LI:#13362415   36/50 peers      3 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:20:32 UTC Syncing #13362387 0xaa14…54cf     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   28 Qed Ancient:#12349241 LI:#13362415   36/50 peers      3 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:20:37 UTC Syncing #13362388 0xd897…bb2a     0.20 blk/s   26.8 tx/s    2.8 Mgas/s      0+   27 Qed Ancient:#12349242 LI:#13362415   36/50 peers      3 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:20:42 UTC Syncing #13362390 0x9739…3a68     0.40 blk/s   25.6 tx/s    2.3 Mgas/s      0+   26 Qed Ancient:#12349244 LI:#13362416   36/50 peers      3 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:20:47 UTC Syncing #13362390 0x9739…3a68     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   28 Qed Ancient:#12349244 LI:#13362418   35/50 peers      3 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:20:52 UTC Syncing #13362390 0x9739…3a68     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   28 Qed Ancient:#12349244 LI:#13362418   35/50 peers      3 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
