2021-10-06 01:04:47 UTC Syncing #13362335 0xb051…ceb9     0.40 blk/s   83.4 tx/s    7.6 Mgas/s      0+   19 Qed Ancient:#12343728 LI:#13362353   39/50 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:04:52 UTC Syncing #13362337 0x1099…d8a9     0.40 blk/s   43.6 tx/s    4.0 Mgas/s      0+   17 Qed Ancient:#12343730 LI:#13362353   39/50 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:04:57 UTC Syncing #13362337 0x1099…d8a9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#12343730 LI:#13362353   39/50 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:05:02 UTC Syncing #13362338 0x75ac…19fc     0.20 blk/s   94.0 tx/s    6.0 Mgas/s      0+   16 Qed Ancient:#12343731 LI:#13362353   38/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:05:07 UTC Syncing #13362339 0x8243…b5ad     0.20 blk/s   47.0 tx/s    5.1 Mgas/s      0+   15 Qed Ancient:#12343732 LI:#13362353   38/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:05:12 UTC Syncing #13362340 0x3bad…b656     0.20 blk/s   21.2 tx/s    1.7 Mgas/s      0+   14 Qed Ancient:#12343733 LI:#13362353   38/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:05:17 UTC Syncing #13362341 0xf3c8…9f0d     0.20 blk/s   83.2 tx/s    6.0 Mgas/s      0+   13 Qed Ancient:#12343734 LI:#13362353   38/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:05:22 UTC Syncing #13362341 0xf3c8…9f0d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#12343734 LI:#13362353   38/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:05:27 UTC Syncing #13362343 0xeb3c…1759     0.40 blk/s   55.8 tx/s    4.7 Mgas/s      0+   12 Qed Ancient:#12343736 LI:#13362354   38/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:05:32 UTC Syncing #13362345 0x9ddb…ff61     0.40 blk/s   63.2 tx/s    6.3 Mgas/s      0+   10 Qed Ancient:#12343738 LI:#13362354   38/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:05:37 UTC Syncing #13362346 0x0725…1f55     0.20 blk/s   50.2 tx/s    4.3 Mgas/s      0+    9 Qed Ancient:#12343739 LI:#13362354   38/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:05:42 UTC Syncing #13362346 0x0725…1f55     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#12343739 LI:#13362355   38/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:05:47 UTC Syncing #13362347 0x44d8…2af3     0.20 blk/s   88.4 tx/s    6.0 Mgas/s      0+   10 Qed Ancient:#12343740 LI:#13362356   38/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:05:52 UTC Syncing #13362348 0x8603…0f7c     0.20 blk/s   46.4 tx/s    4.5 Mgas/s      0+   10 Qed Ancient:#12343741 LI:#13362357   38/50 peers      4 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:05:57 UTC Syncing #13362349 0x6295…a692     0.20 blk/s   50.4 tx/s    3.6 Mgas/s      0+    9 Qed Ancient:#12343742 LI:#13362357   38/50 peers      4 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:06:02 UTC Syncing #13362351 0x4dcc…a881     0.40 blk/s   75.0 tx/s    5.8 Mgas/s      0+    7 Qed Ancient:#12343744 LI:#13362357   38/50 peers      4 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:06:27 UTC Imported #13362358 0xfdff…ff36 (296 txs, 21.80 Mgas, 7040 ms, 130.41 KiB)
2021-10-06 01:06:36 UTC  Ancient:#12344432 AB:#12347257   35/50 peers     36 KiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 01:06:45 UTC Imported #13362359 0x8c44…251b (244 txs, 17.54 Mgas, 5552 ms, 107.19 KiB)
2021-10-06 01:07:05 UTC Imported #13362360 0x1906…4071 (128 txs, 8.85 Mgas, 3698 ms, 44.10 KiB)
